"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	
1014	243	291	261	1102	211	479	262	404	1013	156	127	254	456	120	261	248	1958	
1040	220	280	220	1100	180	480	260	380	1000	130	120	250	430	100	240	230	2030	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
508	129	139	119	579	105	276	117	178	463	101	69	114	230	76	156	119	1076	
35	32	46	42	54	22	40	22	54	125	21	26	33	23	9	34	55	56	
497	59	95	59	467	53	164	121	148	412	8	25	103	177	15	50	56	898	
35	32	46	42	54	22	40	22	54	125	21	26	33	23	9	34	55	56	
508	129	139	119	579	105	276	117	178	463	101	69	114	230	76	156	119	1075	
7	1	2	0	3	0	1	2	1	7	2	0	0	2	0	4	1	25	
536	160	183	161	630	127	315	137	231	581	120	95	147	251	85	186	173	1106	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	0	1	4	0	2	1	1	6	3	0	3	0	2	0	0	6	
40	15	14	8	72	14	18	17	21	46	6	6	1	54	10	30	6	145	
37	34	14	10	49	13	39	9	21	57	12	7	15	13	5	15	16	84	
441	105	149	139	495	95	250	106	182	457	98	79	128	174	65	134	149	829	
8	3	3	0	1	2	2	1	4	6	1	1	0	5	2	2	0	21	
1	0	0	2	2	2	2	1	2	4	0	0	0	3	0	2	0	3	
2	0	3	1	5	0	1	2	0	2	0	1	0	1	1	1	2	10	
4	0	0	0	2	1	1	0	0	3	0	1	0	1	0	2	0	8	
