"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	"УИК №2123"	"УИК №2124"	"УИК №2125"	"УИК №2126"	"УИК №2127"	"УИК №2128"	"УИК №2129"	"УИК №2130"	"УИК №2131"	"УИК №2132"	
874	787	468	1198	1088	1028	979	724	1064	342	482	234	449	549	292	571	199	1205	404	456	389	193	407	270	111	249	388	634	152	290	124	444	
850	750	450	1150	1000	1000	1000	650	1100	300	450	220	450	550	250	550	170	1200	400	410	330	150	400	250	100	240	400	600	150	250	130	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
599	547	330	785	682	684	685	527	698	244	325	191	326	403	178	359	105	714	234	272	196	134	263	161	57	169	327	498	113	181	92	274	
50	51	16	62	48	60	34	30	88	19	40	14	34	37	40	78	46	102	49	58	46	11	70	76	36	8	12	66	22	37	11	67	
201	152	104	303	270	256	281	93	314	37	85	15	90	110	32	113	19	384	117	80	88	5	67	13	7	63	61	36	15	32	27	59	
50	51	16	62	48	60	34	30	88	19	40	14	34	37	40	78	46	102	49	58	46	11	70	76	36	8	12	66	22	37	11	67	
599	547	330	785	682	684	685	527	698	244	325	191	326	403	178	359	105	714	234	272	196	134	263	161	57	169	327	498	113	181	92	274	
8	10	7	8	8	9	5	3	9	2	6	3	2	2	1	1	2	3	3	5	0	0	6	1	2	0	5	5	2	2	0	3	
641	588	339	839	722	735	714	554	777	261	359	202	358	438	217	436	149	813	280	325	242	145	327	236	91	177	334	559	133	216	103	338	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	0	2	2	4	5	5	4	3	3	3	0	5	2	2	4	1	6	0	1	2	2	2	0	0	1	4	4	0	0	2	5	
98	82	67	115	110	120	104	77	99	47	40	21	36	39	28	44	11	112	56	33	42	8	38	27	7	27	28	38	5	21	7	34	
49	57	30	66	58	43	58	50	56	19	46	30	33	37	22	40	16	57	15	20	28	22	31	30	7	6	27	39	3	15	9	24	
480	434	226	626	530	549	526	410	593	183	266	144	277	349	153	342	119	615	203	268	167	110	250	171	76	141	271	472	124	175	85	267	
2	7	7	9	8	4	6	3	12	2	1	4	3	6	2	0	1	8	1	1	0	0	2	3	0	0	1	0	0	2	0	1	
3	3	3	13	3	5	8	2	7	4	2	2	2	2	8	2	0	8	2	2	2	2	1	4	0	2	2	3	1	2	0	3	
1	4	2	5	6	5	2	6	3	3	1	1	1	2	1	4	1	3	2	0	1	1	3	0	1	0	1	2	0	0	0	1	
0	1	2	3	3	4	5	2	4	0	0	0	1	1	1	0	0	4	1	0	0	0	0	1	0	0	0	1	0	1	0	3	
