"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №43"	"УИК №44"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	
2171	2445	1679	2688	2356	2322	2512	1309	2386	1345	1777	1898	2282	2629	1947	1218	1665	1504	1044	2108	2309	882	583	1813	570	2535	1193	587	456	280	520	515	594	301	353	889	635	371	459	472	698	740	530	459	602	318	363	396	430	599	427	529	757	
2148	2489	1722	2728	2346	2383	2427	1331	2455	1124	1772	1974	1640	2721	2039	1235	1736	1538	1062	2228	2423	877	545	1863	587	2627	1083	574	474	288	500	507	586	313	371	752	628	405	484	501	774	671	546	439	602	305	386	379	493	597	408	499	762	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1184	1494	962	1590	1220	1182	1162	762	1285	635	964	1036	1566	1384	1062	591	839	806	430	1062	1301	520	212	967	316	1664	740	317	173	117	315	248	226	96	223	518	385	177	195	210	303	309	261	206	287	186	193	214	131	329	217	294	157	
32	28	25	25	45	30	134	32	38	172	23	20	26	41	19	23	17	11	21	25	30	22	104	16	31	22	55	130	84	54	59	57	72	60	24	52	32	52	36	39	34	142	57	59	28	31	41	25	48	28	46	21	204	
932	967	735	1113	1081	1171	1131	537	1132	317	785	918	48	1296	958	621	880	721	611	1141	1092	335	229	880	240	941	288	127	217	117	126	202	288	157	124	182	211	176	253	252	437	220	228	174	287	88	152	140	314	240	145	184	401	
32	28	25	25	45	30	134	32	38	172	23	20	26	41	19	23	17	11	21	25	30	22	104	16	31	22	55	130	84	54	59	57	72	60	24	52	32	52	36	39	34	142	57	59	28	31	41	25	48	28	46	21	204	
1184	1494	962	1590	1220	1182	1162	762	1284	635	964	1036	1566	1381	1062	591	839	806	430	1062	1299	520	212	967	316	1661	740	317	173	117	315	248	226	96	223	518	385	177	195	210	303	309	261	206	287	186	193	214	131	329	217	294	157	
17	11	15	17	8	10	18	10	19	11	8	8	17	30	15	8	18	9	0	11	14	8	7	17	2	27	9	1	3	0	3	3	2	0	0	8	1	0	2	3	1	4	4	3	1	1	0	5	3	0	1	5	1	
1199	1511	972	1598	1257	1202	1278	784	1303	796	979	1048	1575	1392	1066	606	838	808	451	1076	1315	534	309	966	345	1656	786	446	254	171	371	302	296	156	247	562	416	229	229	246	336	447	314	262	314	216	234	234	176	357	262	310	360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	23	6	17	10	10	11	9	16	8	10	12	15	7	11	3	11	5	3	6	12	4	3	8	2	14	5	2	2	3	1	5	3	1	2	3	6	2	0	3	0	5	4	3	1	3	2	1	1	0	1	4	2	
171	219	154	247	189	153	206	124	191	83	157	146	177	209	129	69	145	110	47	131	173	85	10	140	41	179	87	39	26	10	35	40	30	28	8	82	52	27	23	22	56	31	31	19	51	18	12	25	17	52	32	49	31	
111	107	64	128	93	87	133	52	100	79	63	84	123	112	129	49	68	76	47	95	119	43	32	92	42	148	71	30	19	10	31	29	23	14	10	62	34	24	10	27	39	38	29	14	20	26	10	25	17	36	20	45	33	
859	1105	716	1148	935	911	886	560	940	606	710	764	1205	1016	758	471	575	593	344	810	977	382	254	693	252	1265	597	370	203	145	298	218	235	108	221	406	317	169	187	185	229	366	246	221	225	165	208	178	138	259	205	208	286	
18	14	8	19	13	13	24	13	13	12	16	16	27	14	19	2	9	7	5	7	10	4	5	8	2	23	12	1	2	2	0	2	2	1	4	3	3	3	5	3	5	1	2	2	3	3	0	3	2	5	0	0	4	
17	12	9	14	6	14	7	10	24	3	10	10	9	12	8	5	11	7	4	10	6	6	3	11	1	5	3	1	1	1	2	4	1	1	0	2	0	2	3	2	1	1	2	0	11	0	0	0	0	1	3	2	3	
8	14	5	14	3	11	6	8	11	3	9	10	12	10	9	3	10	6	0	10	13	5	1	11	4	11	3	3	0	0	4	3	2	3	0	2	3	1	1	3	1	2	0	1	1	1	2	0	1	4	0	1	1	
6	17	10	11	8	3	5	8	8	2	4	6	7	12	3	4	9	4	1	7	5	5	1	3	1	11	8	0	1	0	0	1	0	0	2	2	1	1	0	1	5	3	0	2	2	0	0	2	0	0	1	1	0	
