"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	
1774	1470	234	132	308	121	279	202	114	186	96	128	148	81	677	458	351	607	175	346	174	263	262	259	582	
1878	1603	254	141	332	140	311	222	119	195	99	151	164	83	776	518	401	710	205	348	200	265	284	335	654	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1307	1067	177	112	258	98	209	169	104	144	75	112	103	60	582	415	272	519	146	259	149	211	217	189	469	
123	108	43	11	39	18	43	23	7	42	17	14	35	19	48	34	58	28	20	57	17	33	33	35	87	
448	428	34	18	35	24	59	30	8	9	7	25	26	4	146	69	71	163	39	32	34	21	34	111	98	
123	108	43	11	39	18	43	23	7	42	17	14	35	19	48	34	58	28	20	57	17	33	33	35	87	
1307	1067	177	112	258	98	209	169	104	144	75	112	103	60	582	415	272	519	146	259	149	211	217	189	469	
16	6	3	1	0	3	3	0	0	0	0	0	3	0	5	3	0	6	0	3	2	2	1	0	7	
1414	1169	217	122	297	113	249	192	111	186	92	126	135	79	625	446	330	541	166	313	164	242	249	224	549	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	9	1	0	0	0	2	1	1	2	1	0	0	0	5	1	2	1	0	1	2	2	3	2	2	
264	199	7	5	24	14	28	14	4	11	14	13	12	11	54	32	21	61	11	34	18	22	31	18	67	
117	87	17	2	26	5	16	5	2	13	2	7	19	11	38	33	19	44	7	21	14	11	19	15	30	
991	842	191	114	244	93	195	169	102	159	75	103	102	56	518	374	284	413	142	248	126	204	190	187	441	
17	5	1	0	2	0	2	1	2	0	0	0	1	0	5	3	2	7	1	4	2	2	2	0	7	
5	12	0	0	1	1	2	1	0	1	0	1	1	1	0	1	1	6	2	3	1	1	1	2	0	
7	9	0	0	0	0	3	1	0	0	0	2	0	0	2	0	1	8	2	2	1	0	2	0	1	
4	6	0	1	0	0	1	0	0	0	0	0	0	0	3	2	0	1	1	0	0	0	1	0	1	
