"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	
815	355	812	960	1034	662	720	961	900	205	
750	350	750	900	1000	650	700	1000	900	200	
0	0	0	0	0	0	0	0	0	0	
421	224	424	568	586	388	427	571	493	149	
139	38	63	56	65	22	87	71	71	20	
190	88	263	276	349	240	186	358	336	31	
139	38	63	56	65	22	87	71	71	20	
421	224	424	567	586	388	427	571	493	149	
5	2	6	7	8	2	8	5	5	0	
555	260	481	616	643	408	506	637	559	169	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

1	4	3	2	6	2	1	3	1	2	
109	27	100	131	155	133	137	99	94	25	
42	27	47	51	66	35	35	40	50	9	
398	199	325	420	406	234	322	484	402	126	
2	0	2	1	5	3	2	2	4	2	
3	3	1	5	2	0	4	5	5	4	
0	0	2	1	2	0	3	1	3	0	
0	0	1	5	1	1	2	3	0	1	
