"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	
1918	1137	1600	1813	1353	831	200	373	192	163	271	84	159	109	566	496	746	230	141	93	213	411	227	61	119	397	244	262	204	483	465	187	582	235	95	823	560	238	1693	1542	141	434	134	
1900	1000	1600	1700	1300	800	200	350	180	160	280	80	150	100	550	500	750	230	140	90	200	400	220	60	120	350	250	250	200	450	450	180	580	230	95	850	550	220	1700	1500	140	450	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
982	484	767	943	580	224	95	233	132	82	153	51	93	83	337	224	354	109	75	46	136	257	112	42	69	191	75	125	107	262	245	94	301	110	65	400	283	92	785	590	75	241	64	
31	18	13	61	20	336	23	26	36	3	14	8	9	7	28	53	30	0	7	15	0	35	59	3	10	55	25	38	25	32	10	9	18	7	0	23	11	20	77	41	12	18	10	
887	498	820	696	700	240	82	91	12	75	113	21	48	10	185	223	366	121	58	29	64	108	49	15	41	104	150	87	68	156	195	77	261	113	30	427	256	108	838	869	53	191	56	
31	18	13	61	20	336	23	26	36	3	14	8	9	7	28	53	30	0	7	15	0	35	59	3	10	55	25	38	25	32	10	9	18	7	0	23	11	20	77	41	12	18	10	
982	484	767	943	580	224	95	233	132	82	153	51	93	83	337	224	354	109	75	46	136	257	112	42	69	191	75	125	107	262	245	94	301	110	65	400	283	92	785	590	75	241	64	
14	7	13	13	6	24	0	3	0	0	4	0	0	0	4	2	7	0	0	0	5	2	0	0	1	7	0	1	2	0	0	1	6	0	0	2	4	0	17	12	2	3	3	
999	495	767	991	594	536	118	256	168	85	163	59	102	90	361	275	377	109	82	61	131	290	171	45	78	239	100	162	130	294	255	102	313	117	65	421	290	112	845	619	85	256	71	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	6	3	2	4	0	3	0	0	2	0	0	0	2	2	0	1	0	1	0	0	0	0	1	0	1	1	0	4	0	0	3	1	0	1	1	1	4	3	1	1	0	
115	82	120	191	68	40	19	23	9	9	15	7	15	8	37	18	42	29	4	6	15	14	7	8	5	11	5	13	12	25	21	5	38	10	2	37	35	4	178	106	5	21	9	
64	38	52	61	44	73	17	18	6	6	10	3	4	6	29	24	27	11	9	7	1	25	21	8	12	17	14	2	9	25	19	13	33	7	4	29	27	9	53	66	17	13	4	
803	358	584	723	468	405	81	211	151	70	132	49	83	74	290	224	305	65	67	46	114	248	143	28	55	210	80	145	107	233	210	84	232	95	57	353	225	97	594	439	61	221	55	
3	2	3	5	1	6	0	0	1	0	2	0	0	2	2	3	0	3	2	1	0	0	0	0	3	0	0	0	1	1	2	0	6	1	2	0	1	1	5	2	1	0	1	
6	7	0	3	5	2	1	0	1	0	2	0	0	0	1	2	1	0	0	0	1	0	0	1	0	1	0	0	1	4	3	0	1	2	0	1	0	0	6	0	0	0	0	
1	3	1	3	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	5	1	0	0	0	
2	1	1	2	3	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	
