"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1870"	"УИК №1871"	"УИК №1872"	"УИК №1873"	"УИК №1874"	"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1895"	"УИК №1896"	"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №1947"	
2307	2187	2249	2409	2466	2185	2014	2256	1713	1838	2186	2136	2175	2113	2451	2275	2258	2313	2257	1521	2135	2138	2477	1954	2037	2071	2090	2737	1595	2371	2564	1988	1808	1472	2270	1817	1725	1946	1949	1729	1674	2002	2177	1906	2111	1883	2269	2497	2012	1957	2276	2051	2051	2010	1091	2100	2313	2074	2657	2453	163	2157	2225	2123	1797	1396	1439	1638	2138	2303	2173	2039	377	2762	2330	2489	1633	920	1047	
2000	2000	2000	2000	2500	2000	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	2500	2500	2500	1500	2000	2000	2500	2000	2000	2000	2000	2500	1500	2000	2500	2000	2000	1500	2000	1500	1500	2000	2000	1500	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1000	2000	2000	2000	2000	2000	200	2000	2000	2000	1500	1000	1500	1500	2000	2000	2000	2000	400	2500	2000	2500	1500	1000	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1362	1346	1383	1423	1398	1255	1207	1318	1068	1140	1418	1241	1287	1485	1344	1423	1322	1383	1383	884	1279	1360	1584	1158	1239	1457	1242	1814	1075	1411	1609	1155	1175	913	1365	1086	1057	1187	1125	1070	1016	1159	1295	1195	1319	1206	1409	1566	1187	1220	1410	1248	1407	1242	652	1300	1400	1374	1604	1313	95	1373	1321	1377	1172	839	977	925	1339	1452	1382	1217	263	1654	1327	1382	1026	550	986	
43	36	29	28	22	46	22	23	25	36	43	53	46	59	48	28	37	29	40	15	121	40	43	19	41	29	26	24	17	15	20	12	23	11	16	18	26	16	17	27	21	14	12	16	23	19	31	15	31	70	22	31	45	40	7	27	26	27	36	29	0	25	17	14	23	11	9	6	21	30	22	13	107	6	10	13	7	137	61	
595	618	588	549	1080	699	771	659	407	824	539	706	667	456	608	549	1141	1088	1077	601	600	600	873	823	720	514	732	662	408	574	871	833	802	576	619	396	417	797	858	403	463	827	693	789	658	775	560	419	782	710	568	721	548	718	341	673	574	599	360	658	105	602	662	609	305	150	514	569	640	518	596	770	30	840	663	1105	467	313	153	
43	36	29	28	22	46	22	23	25	36	43	53	46	59	48	28	37	29	40	15	121	40	43	19	41	29	26	24	17	15	20	12	23	11	16	18	26	16	17	27	21	14	12	16	23	19	31	15	31	70	22	31	45	40	7	27	26	27	36	29	0	25	17	14	23	11	9	6	21	30	22	13	107	6	10	13	7	137	61	
1358	1330	1383	1423	1395	1254	1203	1318	1063	1140	1407	1241	1285	1425	1343	1423	1322	1372	1383	882	1279	1355	1581	1158	1237	1457	1241	1812	1073	1411	1609	1155	1175	913	1365	1086	1056	1186	1125	1070	1015	1159	1292	1193	1318	1203	1408	1563	1187	1220	1410	1246	1407	1242	652	1298	1400	1374	1604	1311	95	1370	1318	1375	1170	839	977	924	1338	1446	1382	1217	262	1641	1326	1380	1026	550	986	
17	13	16	13	83	19	16	27	19	14	22	12	17	13	10	21	20	18	18	9	13	13	14	28	16	16	9	24	16	11	16	17	16	12	13	16	19	13	9	9	15	10	21	8	12	14	17	19	12	12	23	19	13	9	5	9	17	11	14	12	1	15	7	14	28	10	13	19	17	22	20	19	22	24	21	9	16	11	44	
1384	1353	1396	1438	1334	1281	1209	1314	1069	1162	1428	1282	1314	1471	1381	1430	1339	1383	1405	888	1387	1382	1610	1149	1262	1470	1258	1812	1074	1415	1613	1150	1182	912	1368	1088	1063	1189	1133	1088	1021	1163	1283	1201	1329	1208	1422	1559	1206	1278	1409	1258	1439	1273	654	1316	1409	1390	1626	1328	94	1380	1328	1375	1165	840	973	911	1342	1454	1384	1211	347	1623	1315	1384	1017	676	1003	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

17	14	15	16	6	14	11	9	12	4	14	9	10	12	17	8	13	15	11	5	18	9	17	14	7	9	15	12	8	8	17	13	7	10	8	2	5	6	10	10	9	6	13	14	12	15	13	12	17	19	16	11	8	11	6	13	12	7	9	9	1	8	11	11	13	6	10	4	15	8	15	12	7	16	9	8	5	7	10	
118	124	129	133	150	132	131	127	121	75	129	100	99	124	123	131	139	130	145	81	98	119	163	87	115	143	80	189	116	173	167	108	102	69	140	82	64	96	86	109	107	131	128	103	120	138	132	99	80	135	133	132	123	115	73	128	133	166	174	147	3	126	155	109	103	93	93	94	142	159	180	119	9	190	132	170	96	55	44	
65	50	60	58	28	65	43	49	41	56	69	48	46	57	70	62	50	37	58	37	59	50	59	44	63	41	51	58	44	46	44	48	44	43	52	38	18	40	44	52	23	45	40	59	61	45	52	77	46	42	51	49	27	44	24	57	43	55	41	44	1	46	44	62	37	27	22	34	48	49	56	57	27	51	58	42	37	24	77	
1066	1027	1016	1089	933	918	877	998	767	902	1071	991	1006	1140	1011	1076	969	1034	1032	666	1043	1058	1172	895	965	1146	977	1340	793	1008	1181	863	898	725	1047	868	865	911	878	804	772	852	970	905	1015	879	1085	1239	947	934	1061	937	1168	976	455	1006	1048	1026	1171	938	83	1075	974	1076	877	587	766	694	974	1083	1000	887	285	1172	965	1038	744	548	787	
51	56	75	56	94	61	59	63	73	56	58	49	63	69	77	67	67	81	61	46	84	63	97	42	44	52	69	88	52	89	112	57	60	33	49	34	48	57	56	42	56	46	51	64	53	50	61	41	47	59	62	58	53	55	46	51	86	51	109	97	3	50	78	46	65	60	47	34	65	65	47	53	9	109	85	65	72	18	55	
9	13	8	12	2	9	8	13	5	7	7	4	7	5	12	8	7	6	8	5	5	10	7	8	15	2	5	17	4	8	9	7	11	10	9	6	9	4	5	12	14	8	12	10	10	10	11	7	11	10	15	6	6	8	4	5	5	4	10	8	1	5	3	1	1	1	4	12	10	7	7	10	3	3	5	3	5	3	9	
25	20	27	27	46	23	23	19	18	26	21	25	41	22	23	32	28	24	24	12	36	26	32	16	15	27	23	37	16	30	29	20	18	4	12	16	11	26	16	18	15	22	20	19	11	16	24	36	18	32	26	25	12	19	17	18	29	24	49	32	2	17	30	24	17	26	11	13	23	24	29	36	1	32	27	26	24	4	3	
33	49	66	47	75	59	57	36	32	36	59	56	42	42	48	46	66	56	66	36	44	47	63	43	38	50	38	71	41	53	54	34	42	18	51	42	43	49	38	41	25	53	49	27	47	55	44	48	40	47	45	40	42	45	29	38	53	57	63	53	0	53	33	46	52	40	20	26	65	59	50	37	6	50	34	32	34	17	18	
