"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	
457	877	1207	594	773	500	799	718	470	1255	437	570	501	1366	1618	1648	1662	1363	1312	557	666	500	699	589	
495	940	1300	620	785	495	750	695	490	1260	430	585	525	1370	1650	1720	1670	1410	1360	560	665	490	715	620	
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	
170	489	660	305	439	291	580	558	258	778	246	301	357	914	1098	1048	1028	837	748	331	381	325	366	354	
6	60	76	30	30	10	10	5	11	34	34	19	6	18	38	43	26	31	36	5	10	10	19	10	
223	391	564	285	316	194	160	132	221	448	150	265	162	438	514	629	616	542	576	224	274	155	279	256	
102	60	76	30	30	10	10	5	11	34	34	19	6	18	38	43	26	31	36	5	10	10	70	10	
170	489	660	305	439	291	580	558	258	778	246	301	357	914	1097	1048	1028	837	748	331	381	325	366	354	
4	18	19	9	8	6	8	20	5	13	3	6	5	21	21	20	25	23	17	5	5	9	4	10	
268	531	717	326	461	295	582	543	264	799	277	314	358	911	1114	1071	1029	845	767	331	386	326	432	354	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	5	0	2	2	1	3	1	3	1	5	3	2	6	6	5	4	8	2	1	4	1	3	
30	120	183	46	85	47	113	114	45	169	27	60	97	170	249	275	250	202	174	104	92	96	100	88	
17	49	56	51	30	24	66	46	29	69	34	34	33	88	92	92	73	63	67	27	41	30	38	30	
212	333	455	214	332	219	386	362	183	532	212	203	212	631	728	659	673	550	509	190	246	190	284	221	
3	9	6	8	5	0	5	9	3	11	2	8	6	11	18	20	17	10	3	4	5	3	4	6	
2	4	3	3	2	1	1	3	1	5	0	1	1	2	8	8	3	3	2	1	0	2	3	5	
1	4	5	3	1	2	2	5	0	5	0	1	4	5	7	4	3	8	1	3	1	0	2	0	
1	6	4	1	4	0	8	1	2	5	1	2	2	2	6	7	5	5	3	0	0	1	0	1	
