"УИК №5301"	"УИК №5302"	"УИК №5303"	"УИК №5304"	"УИК №5305"	"УИК №5306"	"УИК №5307"	"УИК №5308"	"УИК №5309"	"УИК №5310"	"УИК №5312"	"УИК №5313"	"УИК №5314"	"УИК №5315"	"УИК №5316"	"УИК №5317"	"УИК №5318"	"УИК №5319"	"УИК №5320"	
357	1576	1512	336	316	115	83	190	144	294	222	76	124	392	49	77	283	306	105	
540	1500	1500	380	350	130	100	220	150	370	270	90	150	400	60	80	350	310	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
273	944	979	160	125	94	47	126	105	129	129	52	90	216	29	55	219	178	72	
67	152	108	142	131	15	31	21	24	112	79	12	6	28	12	17	32	77	25	
200	404	413	78	94	21	22	73	21	129	62	26	54	156	19	8	99	55	3	
67	152	108	142	131	15	31	21	24	112	79	12	6	28	12	17	32	77	25	
273	944	979	160	125	94	47	126	105	129	129	52	90	216	29	55	219	178	72	
5	24	11	0	3	0	1	2	2	3	4	2	4	5	0	2	2	2	1	
335	1072	1076	302	253	109	77	145	127	238	204	62	92	239	41	70	249	253	96	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	8	1	0	3	3	0	1	0	2	0	0	1	0	0	2	1	1	
37	91	111	24	15	7	7	10	9	23	29	4	3	41	3	9	34	19	8	
34	82	68	30	32	4	7	11	22	20	25	4	3	21	2	7	28	20	6	
256	869	867	243	199	93	57	122	93	193	144	53	86	174	34	52	180	212	79	
2	9	5	3	2	2	2	2	0	0	3	1	0	0	1	0	2	0	0	
0	6	5	0	4	0	1	0	0	1	1	0	0	2	1	2	3	1	2	
2	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
2	4	7	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
