"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	
2017	2167	1897	1671	1989	1276	1030	1041	2425	1020	1398	1530	1851	1637	1856	2065	1794	1539	948	2289	1533	1759	2339	1965	2516	1701	2487	1966	1450	1623	1561	2492	1549	1409	1820	2059	2216	2684	2279	2381	2362	1694	2365	2241	597	1294	1003	702	
1900	1700	1800	1600	1900	1300	1000	1100	2300	900	1300	1600	1900	1600	1800	2100	1800	1600	1000	1900	1500	1700	2200	2000	2400	1700	2400	1900	1200	1400	1400	2100	1500	1300	1800	2100	2100	2500	2200	2400	2300	1500	2000	1800	600	1200	1000	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1174	1471	1227	1063	1278	859	712	679	1493	728	873	1031	1269	1063	1226	1153	1062	920	570	1383	869	990	1446	1258	1431	1043	1588	1094	994	1019	1037	1427	1045	907	1137	1283	1461	1651	1368	1329	1392	1019	1521	1251	393	722	741	642	
22	21	23	34	6	19	16	23	36	13	31	26	26	32	30	42	29	17	14	63	24	20	32	31	29	24	37	38	19	28	33	46	22	25	31	60	26	34	60	56	49	33	11	51	23	8	210	0	
704	208	550	503	616	422	272	398	771	159	396	543	605	505	544	905	709	663	416	454	607	690	722	711	940	633	775	768	187	353	330	627	433	368	632	757	613	815	772	1015	859	448	468	498	184	470	49	108	
22	21	23	34	6	19	16	23	36	13	31	26	26	32	30	42	29	17	14	63	24	20	32	31	29	24	37	38	19	28	33	46	22	25	31	60	26	34	60	56	49	33	11	51	23	8	210	0	
1172	1470	1227	1063	1227	855	710	679	1485	726	873	1027	1269	1059	1222	1153	1054	920	570	1381	868	990	1443	1255	1431	1043	1588	1094	994	1018	1034	1426	1045	906	1136	1283	1461	1645	1368	1329	1392	1017	1506	1251	393	722	741	642	
22	30	18	10	13	15	11	3	17	8	15	9	13	7	19	17	11	7	9	28	15	7	20	19	23	16	20	15	15	15	17	21	10	11	9	12	16	21	17	16	22	18	23	21	6	4	16	11	
1172	1461	1232	1087	1220	859	715	699	1504	731	889	1044	1282	1084	1233	1178	1072	930	575	1416	877	1003	1455	1267	1437	1051	1605	1117	998	1031	1050	1451	1057	920	1158	1331	1471	1658	1411	1369	1419	1032	1494	1281	410	726	935	631	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	9	13	10	5	12	7	8	11	5	14	12	6	4	8	14	9	15	17	13	5	7	13	14	10	9	14	14	10	10	10	12	13	5	19	23	12	23	10	11	16	9	20	9	6	0	6	4	
134	172	111	103	153	84	77	64	136	77	74	105	122	101	95	113	96	75	40	121	78	83	163	132	174	87	158	89	115	118	133	155	125	117	123	137	161	157	117	132	138	109	192	142	53	48	74	78	
46	78	44	48	30	31	28	25	52	25	38	37	52	42	47	47	52	56	29	55	36	48	51	52	52	48	55	42	28	37	31	33	29	31	44	60	64	79	63	72	35	52	56	58	16	20	37	37	
801	1007	924	808	856	653	528	536	1142	542	665	791	996	801	950	902	821	713	436	1117	660	784	1085	931	1065	809	1155	852	685	680	726	1005	726	655	829	975	1085	1239	1096	1054	1115	777	1098	967	292	622	735	438	
93	99	67	47	89	40	29	22	75	48	44	41	46	59	59	36	45	33	26	39	47	26	62	58	73	35	86	52	75	87	74	103	76	50	66	61	65	72	47	45	47	36	53	50	22	20	32	40	
4	10	11	12	3	5	5	7	4	4	5	6	8	5	10	10	6	5	4	8	5	4	9	6	5	11	15	4	8	12	5	11	11	4	8	11	13	13	10	8	12	12	9	6	3	1	6	3	
25	25	23	19	39	19	13	10	33	9	17	17	14	22	25	19	13	11	11	20	11	9	29	28	22	16	34	19	18	33	28	47	20	19	31	25	25	26	24	13	13	11	28	15	5	7	13	9	
59	61	39	40	45	15	28	27	51	21	32	35	38	50	39	37	30	22	12	43	35	42	43	46	36	36	88	45	59	54	43	85	57	39	38	39	46	49	44	34	43	26	38	34	13	8	32	22	
