"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	"УИК №1688"	"УИК №1689"	"УИК №1690"	"УИК №1691"	"УИК №1692"	"УИК №1693"	"УИК №1694"	"УИК №1695"	"УИК №1696"	"УИК №1697"	"УИК №1698"	"УИК №1699"	"УИК №1700"	"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1847"	"УИК №1895"	"УИК №2014"	"УИК №2020"	"УИК №2021"	"УИК №2032"	"УИК №2033"	
1859	2155	2243	2365	2076	912	2497	2361	1895	2424	2424	2120	2468	1085	2776	1374	1526	1931	2075	2210	3268	2531	2792	2594	2399	1799	1752	2083	2350	2226	2182	2121	2129	2584	2585	2353	2329	2322	1942	2073	2116	2074	2239	2133	2519	2250	2198	2221	2038	2515	2197	2054	2550	1814	1874	2218	2298	2989	2032	2141	728	2951	2282	1508	2398	2788	659	111	
1800	2000	2000	2250	1950	700	2400	2300	1850	2350	2200	2000	2450	1000	2650	1300	1450	1900	2000	2150	2950	2500	2700	2450	2400	1850	1750	2050	2300	2200	2000	2000	2000	2450	2500	2400	2250	2250	1900	2000	2000	2000	2250	2000	2400	2200	2000	2000	2000	2450	2000	2000	2450	1800	1850	2200	2200	2800	2000	2000	700	2500	2000	1250	2000	1750	700	113	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1144	1204	1365	1400	1167	492	1485	1411	1025	1438	1397	1023	1430	589	1623	645	887	919	944	1228	1921	1560	1588	1427	1441	1062	1109	1311	1406	1193	1267	1118	1063	1251	1415	1296	1269	1402	1111	1210	1169	1152	1292	1187	1365	1324	1223	1276	1162	1427	1241	1089	1355	819	963	1308	1180	1646	1160	917	385	1746	1054	707	1229	1472	481	111	
16	25	31	46	49	39	25	35	29	28	43	34	14	14	20	13	24	23	24	33	39	32	35	31	27	11	12	20	26	34	35	27	44	63	28	39	29	25	49	37	27	42	27	31	18	34	28	28	35	37	43	9	9	14	26	24	12	15	16	18	6	30	6	5	10	15	175	0	
640	771	604	804	734	169	890	854	796	884	760	943	1006	397	1007	642	539	958	1032	889	990	908	1077	992	932	777	629	719	868	973	698	855	893	1136	1057	1065	952	823	740	753	804	806	931	782	1017	842	749	696	803	986	716	902	1086	967	861	868	1008	1139	824	1065	309	724	940	538	761	263	44	2	
16	25	31	46	49	39	25	35	29	28	43	34	14	14	20	13	24	23	24	33	39	32	35	31	27	11	12	20	26	34	35	27	44	63	28	39	29	25	49	37	27	42	27	31	18	34	28	28	35	37	43	9	9	14	26	24	12	15	16	18	6	30	6	5	10	15	175	0	
1144	1204	1365	1400	1167	492	1485	1411	1024	1438	1397	1022	1430	589	1621	645	846	919	943	1228	1921	1560	1588	1426	1440	1062	1108	1311	1403	1192	1267	1118	1062	1251	1415	1296	1268	1402	1111	1208	1169	1151	1292	1187	1365	1324	1222	1275	1161	1427	1239	1089	1354	819	962	1308	1180	1646	1160	916	385	1744	1054	707	1229	1472	481	111	
10	10	17	18	12	6	15	18	8	9	23	7	11	5	15	5	8	15	20	8	24	28	17	23	15	20	10	20	23	20	17	15	19	17	30	21	16	15	10	20	10	17	14	20	22	18	15	23	11	22	16	19	19	17	10	16	15	18	18	13	3	20	16	9	12	16	10	3	
1150	1219	1379	1428	1204	525	1495	1428	1045	1457	1417	1049	1433	598	1626	653	862	927	947	1253	1936	1564	1606	1434	1452	1053	1110	1311	1406	1206	1285	1130	1087	1297	1413	1314	1281	1412	1150	1225	1186	1176	1305	1198	1361	1340	1235	1280	1185	1442	1266	1079	1344	816	978	1316	1177	1643	1158	921	388	1754	1044	703	1227	1471	646	108	
