"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №642"	
40	40	47	124	62	411	362	410	1167	1098	612	174	294	68	399	
50	37	52	140	58	400	350	400	1100	1000	600	190	300	75	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	30	34	73	36	264	185	229	675	578	330	99	168	43	214	
0	0	1	2	4	3	20	23	22	30	48	15	18	0	12	
26	7	17	65	18	133	145	148	403	392	222	76	114	32	174	
0	0	1	2	4	3	20	23	22	30	48	15	18	0	12	
24	30	34	73	36	264	185	229	675	578	330	99	168	43	214	
1	0	0	2	1	2	3	2	15	9	4	0	1	3	3	
23	30	35	73	39	265	202	250	682	599	374	114	185	40	223	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	0	0	1	4	1	3	7	2	0	0	0	1	
0	2	0	1	5	33	41	36	94	74	19	7	8	5	27	
1	5	1	9	1	20	21	22	59	56	57	8	11	6	12	
22	21	31	59	33	206	134	180	506	440	292	98	158	26	181	
0	2	0	1	0	2	1	4	9	3	0	0	7	3	1	
0	0	0	3	0	1	1	6	2	6	2	1	0	0	0	
0	0	1	0	0	0	0	0	3	6	0	0	0	0	0	
0	0	0	0	0	2	0	1	6	7	2	0	1	0	1	
