"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	
1996	841	1185	1883	2269	2307	2059	621	649	1801	2225	539	1028	450	261	299	733	454	1016	2139	360	
2100	900	1180	1920	2320	2320	2250	590	650	1830	2270	510	1050	440	250	380	740	400	1050	2100	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	10	3	0	0	
1180	572	605	1169	1303	1295	1239	325	371	992	1204	309	476	239	87	167	306	211	617	1264	280	
21	2	12	24	37	35	53	17	13	22	54	14	129	17	41	40	37	11	31	49	12	
899	326	563	727	980	990	958	248	266	816	1012	187	445	184	122	173	379	168	399	787	108	
21	2	12	24	37	35	53	17	13	22	54	14	129	17	41	40	55	21	34	49	12	
1180	572	605	1169	1303	1287	1239	325	371	992	1204	309	476	239	87	167	306	211	617	1264	280	
25	9	2	11	17	18	13	3	3	13	13	8	7	2	1	3	4	2	4	15	2	
1176	565	615	1182	1323	1304	1279	339	381	1001	1245	315	598	254	127	204	357	230	647	1298	290	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	3	2	13	8	9	4	2	6	8	12	0	5	1	0	1	3	0	4	10	1	
123	78	60	116	159	133	124	34	35	101	131	35	49	20	13	14	18	27	44	106	19	
84	47	60	85	95	113	81	23	35	75	96	23	53	26	11	30	49	34	57	109	13	
893	407	473	920	988	972	996	267	289	766	947	241	478	196	100	152	278	160	520	1029	255	
29	18	9	21	30	30	33	7	9	25	25	9	7	6	1	6	3	3	7	18	0	
10	1	1	7	10	6	8	3	3	10	7	1	1	3	0	0	0	2	6	8	0	
10	5	4	6	12	21	9	2	3	9	17	3	2	2	2	0	3	3	5	8	1	
18	6	6	14	21	20	24	1	1	7	10	3	3	0	0	1	3	1	4	10	1	
