"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	
917	1032	1110	744	1853	1951	
950	1050	1150	800	1900	2050	
0	0	0	0	0	0	
504	586	640	464	1084	1138	
100	41	36	33	42	102	
346	423	474	303	774	810	
100	41	36	33	42	102	
504	586	640	464	1084	1138	
3	4	9	4	17	10	
601	623	667	493	1109	1230	
0	0	0	0	0	0	
0	0	0	0	0	0	

2	6	5	0	11	7	
70	103	95	88	183	182	
55	44	46	27	76	73	
460	458	511	361	801	913	
4	4	3	5	12	19	
4	5	2	5	13	11	
2	2	1	5	7	11	
4	1	4	2	6	14	
