"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	
535	132	141	158	842	829	1153	657	351	84	173	348	195	367	115	180	202	172	
520	130	130	150	750	750	900	550	330	80	160	340	200	330	120	180	200	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
326	96	86	73	503	541	691	430	198	51	80	215	94	204	73	113	121	104	
70	18	26	39	65	74	67	45	48	26	44	66	39	78	14	17	45	43	
124	16	18	38	182	135	142	75	84	3	36	59	67	48	33	50	34	33	
70	18	26	39	65	74	67	45	48	26	44	66	39	78	14	17	45	43	
326	96	86	73	503	541	691	430	198	51	80	215	94	204	73	113	121	104	
5	1	0	0	9	7	6	3	0	0	0	5	0	0	0	0	1	0	
391	113	112	112	559	608	752	472	246	77	124	276	133	282	87	130	165	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	2	3	3	6	4	1	3	0	0	2	1	1	0	0	2	0	
63	5	13	5	96	111	121	74	40	6	14	62	12	32	8	14	21	20	
21	1	4	7	38	48	66	38	15	6	11	21	4	13	2	13	12	4	
293	104	91	93	405	425	536	349	176	65	98	191	111	232	73	102	126	122	
8	0	1	0	5	8	10	4	2	0	0	0	1	3	1	0	0	1	
3	0	1	3	2	6	7	4	4	0	1	0	1	0	1	1	1	0	
0	0	0	0	6	1	6	1	6	0	0	0	0	0	2	0	2	0	
1	3	0	1	4	3	2	1	0	0	0	0	3	1	0	0	1	0	
