"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	
1582	1771	1467	1404	1468	1634	1450	1726	1901	1626	1427	2114	2389	1801	1963	2004	1743	1472	1458	1644	1777	1578	1299	1467	1820	1491	2137	1322	1750	2067	1996	2060	1598	1406	2151	1601	1602	1793	1652	1006	1357	2109	1483	2041	2623	1752	1417	1957	1624	2440	1961	1218	2242	1678	2686	1357	1533	1558	1424	1188	1801	1769	1816	1938	2577	1537	2308	1378	2013	1823	1913	1682	2093	1992	1800	2143	1041	1763	1124	149	379	876	225	86	25	16	37	13	21	19	
1500	1750	1500	1500	1500	1500	1500	1500	1500	1500	1200	2000	2000	1500	1500	2000	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	2000	1000	2000	1800	1800	2000	1500	1600	1600	1500	1500	1500	1500	1000	1500	1500	1500	2000	2000	1500	1500	2000	1500	2000	2000	1000	2000	1550	2650	1500	1500	1500	1500	1000	1500	1500	1500	2000	2000	1500	2000	1500	2000	1500	2000	1500	2000	2000	2000	2000	900	1300	1000	200	800	900	233	86	25	16	37	13	21	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	86	25	14	37	12	21	19	
1117	1291	866	983	914	1048	744	977	998	941	994	1229	1266	1026	977	1181	975	870	954	891	951	955	839	841	1052	959	1032	795	1233	1234	1496	1122	1058	1278	1378	1047	1020	983	988	643	878	1320	769	1022	1451	1304	896	1330	1174	1541	1381	862	1398	1215	2055	951	984	985	998	780	1295	1095	1142	1055	1662	968	1398	1100	1370	1178	1245	1054	1252	1247	1148	1248	740	1078	756	79	25	735	0	0	0	0	0	0	0	0	
114	19	24	14	88	58	47	21	27	26	61	32	23	22	18	100	66	83	19	21	14	19	23	84	23	12	33	5	126	103	17	39	163	20	18	79	25	13	111	11	28	25	5	19	66	45	27	32	38	51	52	14	31	18	1	51	40	59	67	30	29	41	25	12	12	12	22	33	35	34	29	38	17	107	68	23	8	3	6	40	340	73	0	0	0	0	0	0	0	0	
269	440	610	503	498	394	709	502	475	533	145	739	711	452	505	719	459	547	527	588	535	526	638	575	425	529	935	199	641	463	287	839	279	302	204	374	455	504	401	346	594	155	726	959	483	151	577	638	288	408	567	124	571	317	594	498	476	456	435	190	176	364	333	933	326	520	580	367	595	288	726	408	731	646	784	729	152	219	238	81	435	92	22	0	0	2	0	1	0	0	
114	19	24	14	88	58	47	21	27	26	61	32	23	22	18	100	66	83	13	21	14	19	23	84	23	12	33	5	126	103	17	39	163	20	18	79	25	13	111	11	28	25	5	19	66	45	27	32	38	51	52	14	31	18	1	51	40	59	67	30	29	41	25	12	12	12	22	33	35	34	29	38	17	107	68	23	8	3	6	40	339	73	211	86	25	14	37	12	21	19	
1003	1287	866	983	822	1048	744	977	998	939	993	1229	1266	1022	976	1181	973	860	935	891	949	954	838	841	1050	957	1030	794	1233	1232	1495	1120	1056	1278	1376	1046	1018	983	985	643	876	1320	768	1022	1449	1303	896	1330	1172	1538	1381	859	1397	1215	2055	947	984	982	998	778	1295	1095	1142	1040	1629	966	1392	1100	1368	1177	1245	1054	1252	1247	1146	1245	740	1077	756	79	25	735	0	0	0	0	0	0	0	0	
17	22	4	6	10	21	11	16	9	17	6	9	21	18	10	23	13	13	12	11	17	24	15	9	13	16	9	10	7	26	23	20	10	22	22	16	16	14	18	12	4	24	3	19	13	30	12	20	7	18	19	19	26	27	94	13	17	15	11	14	22	16	19	16	19	16	15	15	14	17	16	21	20	18	10	15	8	21	13	2	7	18	9	0	2	2	2	1	0	0	
1100	1284	886	991	900	1085	780	982	1016	948	1048	1252	1268	1026	984	1258	1026	930	936	901	946	949	846	916	1060	953	1054	789	1352	1309	1489	1139	1209	1276	1372	1109	1027	982	1078	642	900	1321	770	1022	1502	1318	911	1342	1203	1571	1414	854	1402	1206	1962	985	1007	1026	1054	794	1302	1120	1148	1036	1622	962	1399	1118	1389	1194	1258	1071	1249	1336	1204	1253	740	1059	749	117	357	790	202	86	23	12	35	11	21	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

22	9	7	7	1	18	9	14	13	9	10	11	7	15	8	17	9	17	8	17	10	7	6	11	8	6	14	10	6	11	8	15	20	16	21	12	17	7	8	11	10	15	3	12	12	16	8	14	6	14	10	5	7	7	19	7	14	12	10	7	8	24	13	6	9	7	12	11	13	9	19	12	15	19	16	14	8	9	9	0	0	15	2	1	1	0	0	0	0	0	
116	102	91	92	66	88	80	96	125	93	85	117	124	111	111	124	87	66	78	94	91	77	76	101	90	92	79	82	118	105	87	126	97	113	183	87	99	113	91	64	77	146	68	97	149	151	88	130	105	139	151	109	115	165	335	94	81	85	110	84	104	109	100	114	174	85	135	98	144	101	118	78	109	109	116	147	60	128	78	12	24	50	14	10	4	1	3	1	5	1	
37	54	28	48	23	45	20	36	46	33	49	57	57	40	30	51	30	38	31	48	40	34	49	28	46	54	57	32	60	63	96	43	35	47	47	45	37	54	44	26	33	33	41	39	40	53	23	39	37	55	49	21	64	36	72	46	34	29	38	31	59	46	50	27	39	35	47	49	52	45	45	40	40	41	25	40	15	32	24	6	22	75	18	14	3	0	2	3	1	6	
799	960	626	679	667	777	579	707	685	682	794	916	928	755	711	883	712	659	672	614	658	709	620	639	786	700	761	529	962	983	1138	790	872	928	929	783	673	704	781	457	676	925	595	745	1048	914	674	973	884	1151	1000	537	1060	847	1246	739	769	779	775	579	983	823	849	741	1145	745	1022	794	984	866	897	778	948	972	844	845	509	710	503	85	283	543	131	51	10	10	29	4	13	11	
48	81	62	85	67	84	38	65	63	61	45	67	75	43	63	76	83	80	69	50	65	52	47	49	47	46	55	65	97	66	83	79	73	87	99	87	106	47	56	24	52	107	34	57	108	76	57	84	64	100	90	105	58	71	151	34	51	46	48	38	74	60	55	72	123	35	78	53	83	73	77	59	56	94	74	96	85	93	64	3	9	44	22	6	4	0	1	2	1	1	
6	7	2	9	4	4	3	6	9	6	11	16	14	4	1	10	3	3	17	7	7	5	10	10	13	10	6	7	8	13	12	6	9	8	10	13	6	8	11	3	6	4	7	6	15	7	4	8	13	9	15	8	10	5	7	6	2	8	11	8	7	3	10	8	6	7	12	9	12	10	9	6	4	7	14	6	4	5	9	2	6	6	2	2	0	0	0	0	1	0	
24	21	17	14	18	20	12	14	21	19	9	23	15	20	20	29	27	14	25	23	15	24	7	22	18	16	20	28	24	20	22	28	31	24	34	25	29	10	24	14	8	35	8	18	40	31	19	17	24	33	34	27	24	21	53	14	15	15	15	17	20	21	18	26	43	13	37	21	29	21	24	31	37	24	38	33	19	27	15	4	4	12	4	2	0	0	0	0	0	0	
48	50	53	57	54	49	39	44	54	45	45	45	48	38	40	68	75	53	36	48	60	41	31	56	52	29	62	36	77	48	43	52	72	53	49	57	60	39	63	43	38	56	14	48	90	70	38	77	70	70	65	42	64	54	79	45	41	52	47	30	47	34	53	42	83	35	56	83	72	69	69	67	40	70	77	72	40	55	47	5	9	45	9	0	1	1	0	1	0	0	
