"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	
333	154	202	176	695	163	323	194	225	1155	787	1030	1290	2210	936	771	1949	98	239	705	469	
250	100	180	150	700	160	300	150	180	1100	800	1000	1300	2300	1000	750	2000	90	200	750	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
184	70	72	64	322	79	116	72	106	542	302	432	515	1256	419	274	988	29	123	364	202	
46	30	71	43	38	29	54	50	30	44	32	31	20	35	35	45	46	21	18	43	45	
20	0	37	43	340	52	130	28	44	514	466	537	765	1009	546	431	966	40	59	343	203	
46	30	71	43	38	29	54	50	30	44	32	31	20	35	35	45	46	21	18	43	45	
184	70	72	64	322	79	116	72	106	542	302	432	515	1256	418	274	988	29	123	364	202	
2	0	3	0	7	0	0	1	1	14	5	5	7	19	4	7	13	0	0	11	4	
228	100	140	107	353	108	170	121	135	572	329	458	528	1272	449	312	1021	50	141	396	243	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	3	1	1	1	0	0	2	3	0	2	2	11	1	1	6	0	0	1	3	
22	7	8	9	30	6	19	5	8	55	35	54	74	169	51	35	126	0	15	35	20	
9	7	16	11	31	4	22	12	9	40	33	36	47	76	45	27	72	3	15	26	15	
188	82	107	78	283	97	127	96	110	452	254	356	379	965	338	246	768	46	108	328	199	
4	2	3	4	1	0	2	3	3	9	3	4	7	24	6	1	23	1	0	1	1	
1	0	2	1	3	0	0	2	3	5	3	3	11	12	3	1	4	0	1	2	4	
1	1	0	1	3	0	0	1	0	6	0	2	6	6	3	0	8	0	1	2	1	
1	1	1	2	1	0	0	2	0	2	1	1	2	9	2	1	14	0	1	1	0	
