"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	
505	461	187	465	172	206	575	161	295	298	283	1066	1043	2383	1955	1380	
450	400	200	450	150	200	500	150	300	300	250	900	900	2000	1550	1150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
309	261	84	214	98	131	293	90	102	181	139	567	553	1260	1106	578	
29	34	49	86	14	15	39	18	57	14	19	64	30	55	86	62	
112	105	67	150	38	54	168	42	141	105	92	269	317	685	358	510	
29	34	49	86	14	15	39	18	57	14	19	64	30	55	86	62	
309	261	84	214	98	131	293	90	102	181	139	567	553	1260	1106	578	
6	1	0	2	1	1	3	1	2	0	0	2	5	10	14	6	
332	294	133	298	111	145	329	107	157	195	158	629	578	1305	1178	634	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	1	1	3	3	1	2	0	0	6	6	11	14	6	
47	59	20	46	8	46	66	7	22	37	14	140	125	269	232	131	
34	29	10	36	9	11	53	9	8	13	17	74	60	153	132	77	
240	197	100	207	82	84	195	89	122	143	122	384	358	825	752	403	
6	3	1	3	1	1	1	1	0	2	2	13	10	23	27	3	
2	4	0	2	2	0	5	0	2	0	1	9	6	7	5	4	
1	1	1	1	2	0	4	0	0	0	1	3	5	9	10	5	
1	1	0	2	6	0	2	0	1	0	1	0	8	8	6	5	
