"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	
2364	259	395	303	256	180	523	282	242	237	229	320	179	864	
2300	220	370	300	220	160	520	250	220	230	200	320	160	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1391	122	203	195	83	108	257	168	117	85	123	181	80	355	
362	88	99	61	99	38	125	42	71	100	60	64	65	259	
547	10	68	44	38	14	138	40	32	45	17	75	15	236	
362	88	99	61	99	38	125	42	71	100	60	64	65	259	
1390	122	203	195	83	108	257	168	117	85	123	181	80	355	
22	0	2	9	1	1	2	2	1	0	2	0	0	3	
1730	210	300	247	181	145	380	208	187	185	181	245	145	611	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

19	1	1	2	4	1	3	1	1	1	2	1	0	5	
167	20	23	9	24	20	35	12	11	19	12	14	8	37	
123	15	8	16	12	14	46	19	9	15	15	20	12	39	
1340	166	258	210	139	107	279	169	159	147	152	203	115	514	
26	2	1	4	1	1	8	4	0	0	0	1	2	5	
18	2	2	2	0	1	1	0	3	0	0	3	1	3	
14	2	2	1	0	0	2	0	0	0	0	0	0	3	
23	2	5	3	1	1	6	3	4	3	0	3	7	5	
