"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	
410	485	318	225	239	604	247	233	1006	2318	304	112	160	416	194	254	175	427	162	273	683	193	194	296	130	147	613	638	294	172	
404	501	293	231	241	616	270	213	950	2049	283	103	158	429	183	255	181	427	154	280	673	188	177	288	126	140	629	646	287	168	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
250	358	241	128	179	428	178	166	584	1512	212	83	120	270	135	166	116	330	123	196	418	134	149	192	92	86	391	446	208	113	
7	26	3	3	5	28	4	32	23	66	5	3	4	16	4	7	0	9	6	6	13	6	7	10	0	12	25	19	3	5	
147	117	49	100	57	160	88	15	343	471	66	17	34	143	44	82	65	88	25	78	242	48	21	86	34	42	213	181	76	43	
7	26	3	3	5	28	4	32	23	66	5	3	4	16	4	7	0	9	6	6	13	6	7	10	0	12	25	19	3	12	
250	358	241	128	179	428	178	166	584	1512	212	83	120	270	135	166	116	330	123	196	418	134	148	192	92	86	391	446	208	113	
3	5	0	1	4	4	3	3	10	11	2	0	0	0	1	4	1	3	0	8	6	0	2	0	0	2	3	1	0	1	
254	379	244	130	180	452	179	195	597	1567	215	86	124	286	138	169	115	336	129	194	425	140	153	202	92	96	413	464	211	124	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	0	6	1	0	6	3	1	1	0	1	2	0	2	5	0	0	0	0	0	0	0	0	2	0	4	0	
73	71	26	30	27	60	15	20	141	411	30	6	8	79	22	48	32	69	25	27	73	33	19	43	14	6	89	91	12	3	
5	26	10	6	12	30	7	18	41	101	8	10	1	23	15	13	21	21	17	8	42	25	6	11	14	9	22	22	10	1	
167	276	202	92	140	344	155	153	398	1030	176	69	114	177	96	107	59	237	87	152	309	81	128	145	63	81	293	348	179	119	
4	3	4	2	0	4	1	1	4	10	0	0	0	3	0	1	1	2	0	1	0	1	0	1	1	0	4	2	2	0	
3	1	1	0	1	7	0	2	5	5	0	0	1	2	2	0	0	0	0	3	1	0	0	1	0	0	3	0	2	1	
0	1	1	0	0	1	0	0	1	5	0	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0	
1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	
