"УИК №2242"	"УИК №2243"	"УИК №2244"	"УИК №2245"	"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2265"	"УИК №2266"	"УИК №2267"	"УИК №2268"	"УИК №2269"	"УИК №2270"	"УИК №2271"	"УИК №2272"	"УИК №2273"	"УИК №2274"	"УИК №2275"	"УИК №2276"	"УИК №2277"	"УИК №2278"	"УИК №2279"	"УИК №2280"	"УИК №2281"	"УИК №2282"	"УИК №2283"	"УИК №2284"	"УИК №2285"	"УИК №2286"	"УИК №2287"	"УИК №2288"	"УИК №2289"	"УИК №2290"	"УИК №2291"	"УИК №2292"	"УИК №3993"	"УИК №3994"	"УИК №3995"	"УИК №3996"	"УИК №3997"	"УИК №3998"	"УИК №3999"	"УИК №4000"	"УИК №4001"	"УИК №4002"	
324	1128	1327	1211	1471	918	1542	1581	1927	1626	1473	1610	1586	1410	1414	1101	1321	1385	1383	1381	1128	931	1242	1473	1319	1005	1223	1310	1634	1447	1045	1247	1060	796	278	707	297	329	838	838	770	270	1442	1111	630	1773	287	786	442	311	481	721	915	1433	1227	1112	858	829	885	864	1146	
370	1000	1300	1100	1400	800	1500	1500	1700	1600	1500	1600	1500	1400	1400	1100	1300	1400	1400	1300	1100	900	1200	1400	1300	900	1200	1300	1700	1400	1000	1200	1000	700	250	700	250	250	800	700	700	280	1400	1000	500	1700	250	700	400	250	400	600	900	1400	1200	1100	800	800	800	900	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
252	617	737	685	769	536	933	961	1063	925	842	864	877	728	781	608	650	739	739	767	641	521	717	883	669	613	672	620	904	838	521	696	545	496	119	444	119	177	415	470	380	158	823	618	378	1063	198	451	216	165	270	431	512	848	726	597	502	449	479	466	673	
70	22	20	17	18	14	20	25	16	23	23	31	31	30	36	15	32	18	33	26	33	17	15	21	37	24	37	51	34	41	42	26	23	12	25	10	64	30	63	36	43	40	28	51	43	30	15	55	65	55	58	3	27	28	20	12	12	16	10	31	37	
48	361	543	398	613	250	547	514	621	652	635	705	592	642	583	477	618	643	628	507	426	362	468	496	594	263	491	629	762	521	437	478	432	192	106	246	67	43	322	194	277	82	549	331	79	607	37	194	119	30	72	166	361	524	454	491	286	335	311	403	290	
70	22	20	17	18	14	20	25	16	23	23	31	31	30	36	15	32	18	33	26	33	17	15	21	37	24	37	51	34	41	42	26	23	12	25	10	64	30	63	36	43	40	28	51	43	30	15	55	65	55	58	3	27	28	20	12	12	16	10	31	37	
252	617	737	685	769	536	933	961	1063	925	842	864	877	728	781	608	650	739	738	767	641	521	717	883	669	613	672	620	902	838	521	696	545	496	119	444	119	177	415	469	380	158	823	618	378	1063	198	451	216	165	270	431	512	848	726	597	502	449	479	466	673	
5	5	14	10	14	9	16	13	13	19	13	21	16	7	5	8	9	10	16	18	8	7	5	6	14	17	5	11	14	12	7	4	0	8	0	8	4	2	10	3	8	4	26	8	3	16	0	4	0	4	3	3	5	18	10	13	3	5	9	5	9	
317	634	743	692	773	541	937	973	1066	929	852	874	892	751	812	615	673	747	755	775	666	531	727	898	692	620	704	660	922	867	556	718	568	500	144	446	179	205	468	502	415	194	825	661	418	1077	213	502	281	216	325	431	534	858	736	596	511	460	480	492	701	
