"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	
326	236	383	289	186	486	225	165	171	502	208	1403	203	196	
315	229	390	296	178	478	211	161	171	501	190	1393	201	186	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
240	157	238	228	130	221	179	93	100	337	142	1094	114	133	
66	63	107	54	44	203	28	58	46	124	47	168	73	48	
9	9	45	14	4	54	4	10	25	40	1	131	14	5	
66	63	107	54	44	203	28	58	46	124	47	168	73	48	
240	157	238	228	130	221	179	93	100	337	142	1094	114	133	
4	1	0	1	3	4	0	0	0	5	0	12	0	4	
302	219	345	281	171	420	207	151	146	456	189	1250	187	177	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	0	2	2	1	0	1	1	2	4	1	2	
21	16	26	11	9	40	13	8	8	29	24	118	9	15	
11	8	6	7	16	15	10	3	4	15	3	42	6	13	
261	195	310	255	141	354	180	139	127	409	160	1072	170	145	
2	0	1	4	0	4	2	1	4	0	0	5	1	0	
3	0	1	3	3	4	1	0	2	1	0	5	0	1	
2	0	1	0	0	1	0	0	0	1	0	0	0	0	
0	0	0	1	0	0	0	0	0	0	0	4	0	1	
