"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	"УИК №2341"	"УИК №2342"	"УИК №2343"	"УИК №2344"	"УИК №2345"	"УИК №2346"	"УИК №2347"	"УИК №2348"	"УИК №2349"	"УИК №2350"	"УИК №2351"	"УИК №2352"	"УИК №2353"	"УИК №2354"	"УИК №2355"	"УИК №2356"	"УИК №2357"	"УИК №2358"	"УИК №2359"	"УИК №2360"	"УИК №2361"	"УИК №2362"	"УИК №2363"	"УИК №2364"	"УИК №2365"	"УИК №2366"	"УИК №2367"	"УИК №2368"	"УИК №2369"	"УИК №2370"	"УИК №2371"	"УИК №2372"	"УИК №2373"	"УИК №2374"	"УИК №2375"	"УИК №2376"	"УИК №2377"	"УИК №2378"	"УИК №2379"	"УИК №2380"	"УИК №2381"	"УИК №2382"	"УИК №2383"	"УИК №2384"	"УИК №2385"	
1813	2049	2293	2214	1607	2307	2343	2492	2384	1785	2028	2191	2189	1826	2175	1806	1850	1878	1495	1541	2170	2246	2249	2961	2170	2022	1737	2611	2627	1537	1510	1277	1779	813	1771	1074	995	1948	2231	1385	1324	1966	1218	1675	2087	1202	1852	1304	1553	1559	2261	2758	2727	2528	2234	2375	2592	2418	2231	2850	1808	2090	1700	1335	1897	2908	106	61	
1600	2000	2100	2000	1500	2200	2200	2400	2300	1700	2000	2000	2200	1800	2000	1679	1729	1800	965	1500	2000	2100	2000	2700	2000	2000	1500	2500	2500	1500	1500	709	1600	416	1500	614	548	1800	2000	1200	1200	1800	763	1500	2000	807	1700	763	1500	856	2200	2700	2600	2400	2200	2200	2500	2200	2200	2700	1800	2000	1700	823	1800	2500	500	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
839	1052	1223	1263	742	1335	1290	1448	1169	1163	1175	1252	1193	998	1213	894	865	833	878	890	1266	1359	1306	1697	1272	1195	1094	1336	1520	947	922	700	1026	411	1049	590	516	1150	1288	639	626	1084	722	838	1186	801	987	763	791	848	1356	1565	1651	1576	1409	1505	1667	1499	1414	1748	1151	1224	998	804	1178	1607	88	58	
106	215	16	29	121	11	4	34	25	62	71	13	67	101	36	14	16	11	87	30	58	55	63	50	23	33	15	21	25	32	51	9	17	5	8	24	32	36	41	6	12	32	41	36	19	6	102	0	111	8	14	83	18	24	22	15	141	27	26	29	27	15	32	19	4	13	0	0	
655	733	861	708	637	854	906	918	1106	475	754	735	940	701	751	771	848	956	0	580	676	686	631	953	705	772	391	1143	955	521	527	0	557	0	443	0	0	614	671	555	562	684	0	626	795	0	611	0	598	0	830	1052	931	800	769	680	692	674	760	923	622	761	670	0	618	880	412	442	
106	212	16	29	121	11	4	34	25	62	71	13	67	101	36	14	16	11	86	30	58	55	63	50	23	33	15	21	25	32	51	9	17	5	8	24	32	36	41	6	12	32	41	36	19	6	102	0	111	8	14	83	18	24	22	15	141	27	26	29	27	15	32	19	4	13	0	0	
839	1051	1223	1259	742	1335	1290	1448	1169	1163	1175	1251	1193	998	1213	894	865	833	878	890	1266	1357	1288	1697	1272	1195	1094	1336	1520	947	922	698	1026	409	1049	588	515	1150	1288	639	626	1084	722	838	1186	797	987	762	791	844	1356	1565	1651	1576	1409	1505	1667	1499	1414	1748	1151	1223	997	802	1177	1607	88	58	
6	24	8	14	10	9	13	13	11	21	11	5	12	8	9	9	6	5	10	8	18	8	9	8	5	17	3	19	9	6	7	5	9	2	14	7	1	14	16	1	8	8	5	11	10	4	20	2	23	2	13	15	21	6	0	16	10	6	12	19	9	19	12	5	31	18	0	2	
939	1239	1231	1274	853	1337	1281	1469	1183	1204	1235	1259	1248	1091	1240	899	875	839	954	912	1306	1404	1342	1739	1290	1211	1106	1338	1536	973	966	702	1034	412	1043	605	546	1172	1313	644	630	1108	758	863	1195	799	1069	760	879	850	1357	1633	1648	1594	1431	1504	1798	1520	1428	1758	1169	1219	1017	816	1150	1602	88	56	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	11	3	4	2	13	10	14	4	7	6	5	8	10	17	4	5	3	5	6	7	13	13	21	11	10	5	7	9	14	12	5	10	0	6	5	7	8	13	4	3	10	6	6	12	2	7	2	5	8	12	15	22	19	8	4	11	16	16	14	3	19	8	15	9	11	0	0	
43	138	136	177	66	145	131	146	72	109	119	111	100	91	128	57	47	85	85	111	106	139	147	155	111	116	78	125	156	88	93	82	105	39	102	69	52	136	155	63	77	116	69	58	125	68	125	89	97	76	152	230	182	166	213	156	218	150	155	177	107	119	89	89	152	208	13	6	
51	83	79	95	61	95	89	104	44	80	95	33	92	63	76	37	40	51	53	37	54	70	62	92	69	75	51	99	105	51	44	30	50	22	55	40	11	59	77	45	35	63	45	37	74	47	63	43	48	50	53	93	85	78	77	88	100	84	88	101	70	81	60	47	44	70	4	4	
805	944	965	939	695	1032	994	1141	1027	950	948	1054	985	880	975	763	746	656	759	700	1076	1104	1019	1393	1045	950	919	1063	1219	764	746	529	814	317	799	449	442	855	988	503	484	848	578	694	905	637	784	574	680	658	1036	1207	1235	1220	1044	1173	1386	1187	1081	1344	927	908	790	609	839	1159	62	42	
13	27	23	23	6	23	22	25	16	22	26	25	18	19	21	17	20	16	24	31	25	29	34	33	17	24	23	12	20	23	27	22	21	14	33	13	12	54	42	9	12	26	20	27	31	19	39	25	16	21	49	33	60	44	38	35	37	27	42	48	17	33	32	18	48	70	4	2	
9	4	9	10	12	11	8	12	5	13	12	10	8	11	7	3	3	8	7	6	5	8	14	9	10	6	9	6	8	3	8	4	5	4	9	8	3	14	9	6	7	10	5	7	16	6	7	7	5	5	6	9	13	16	12	11	12	19	8	8	12	13	4	9	11	8	1	1	
7	22	8	8	5	6	16	13	8	11	13	5	24	8	8	7	6	9	5	8	11	19	17	14	14	15	5	5	8	11	18	10	12	9	22	11	8	19	11	7	8	9	21	14	15	10	12	7	10	14	23	25	16	26	8	14	13	12	19	30	8	20	13	16	18	42	2	0	
8	10	8	18	6	12	11	14	7	12	16	16	13	9	8	11	8	11	16	13	22	22	36	22	13	15	16	21	11	19	18	20	17	7	17	10	11	27	18	7	4	26	14	20	17	10	32	13	18	18	26	21	35	25	31	23	21	25	19	36	25	26	21	13	29	34	2	1	
