"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	
618	375	141	516	1424	1884	1973	1601	433	107	422	134	2729	221	623	641	144	241	173	135	117	2371	2846	2325	85	
650	400	140	550	1450	1850	1950	1600	450	110	420	150	2650	220	620	620	140	220	160	130	120	2300	2750	2200	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
444	318	66	381	793	1223	1310	1016	295	80	245	76	1979	160	380	498	110	201	134	99	90	1479	1755	1401	69	
93	30	30	64	65	38	37	50	49	3	18	30	243	17	40	73	16	9	12	23	22	42	58	57	2	
113	52	44	105	592	589	603	534	106	27	157	44	428	43	200	49	14	10	14	8	8	779	937	742	39	
93	30	30	64	65	38	37	50	49	3	18	30	243	17	40	73	16	9	12	23	22	42	58	57	2	
444	318	66	381	793	1223	1310	1016	295	80	245	76	1979	160	380	498	110	201	134	99	90	1479	1755	1401	69	
3	8	0	4	12	10	12	9	5	3	0	4	3	2	12	8	0	3	0	2	0	25	21	19	2	
534	340	96	441	846	1251	1335	1057	339	80	263	102	2219	175	408	563	126	207	146	120	112	1496	1792	1439	69	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	0	0	9	15	13	17	4	0	3	1	14	1	4	1	2	1	1	1	2	13	22	9	1	
26	31	5	37	98	195	204	151	53	5	25	14	370	16	54	21	15	30	19	6	7	150	206	154	2	
73	40	17	47	125	167	152	136	35	9	33	20	215	17	52	31	19	21	17	12	6	207	251	194	13	
427	260	68	348	590	838	913	722	238	66	194	64	1525	136	274	498	89	147	98	100	93	1069	1243	1024	50	
0	3	2	3	8	12	21	13	5	0	6	1	48	3	14	6	1	5	5	1	2	30	37	21	0	
0	3	4	3	8	11	9	6	1	0	1	1	13	2	4	1	0	2	4	0	2	11	4	6	2	
1	0	0	2	7	5	18	6	1	0	1	0	11	0	4	2	0	0	1	0	0	12	17	15	0	
3	2	0	1	1	8	5	6	2	0	0	1	23	0	2	3	0	1	1	0	0	4	12	16	1	
