"УИК №1572"	"УИК №1573"	"УИК №1574"	"УИК №1575"	"УИК №1577"	"УИК №1578"	"УИК №1579"	"УИК №1580"	"УИК №1581"	"УИК №1582"	"УИК №1583"	"УИК №1584"	"УИК №1585"	"УИК №1586"	"УИК №1587"	"УИК №1588"	"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №1592"	"УИК №1593"	"УИК №1595"	"УИК №1721"	"УИК №1722"	
827	1220	963	131	169	130	417	366	406	482	119	161	506	66	393	691	368	177	416	940	264	146	903	240	
882	1227	1005	128	171	121	433	370	416	491	119	160	519	71	418	696	367	183	411	920	263	148	899	232	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
687	962	675	116	149	118	379	321	343	399	101	142	455	61	313	481	318	161	375	845	246	116	782	212	
22	148	184	5	15	0	11	20	35	35	11	7	17	1	44	37	16	2	13	31	7	19	44	9	
173	117	146	7	7	3	43	29	38	57	7	11	47	9	52	178	33	20	23	44	10	13	73	11	
22	148	184	5	15	0	11	20	35	35	11	7	17	1	53	37	16	2	13	31	7	19	44	9	
687	962	675	116	149	118	379	321	343	399	101	142	455	61	313	481	318	161	375	845	246	116	782	212	
9	7	6	0	2	0	1	2	5	4	1	0	3	0	2	5	0	0	0	6	1	0	8	1	
700	1103	853	121	162	118	389	339	373	430	111	149	469	62	364	513	334	163	388	870	252	135	818	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	7	2	0	0	0	1	2	1	1	0	0	0	0	2	2	1	1	0	1	1	0	0	0	
92	92	121	7	20	0	5	13	29	10	3	4	17	1	9	116	29	26	49	31	6	2	79	18	
74	43	31	10	19	4	34	7	28	10	4	3	11	2	11	70	28	5	25	22	12	6	60	5	
520	935	692	103	123	110	346	315	311	404	100	139	439	58	337	319	270	130	309	810	226	126	672	197	
3	12	3	1	0	0	1	2	1	2	3	1	1	0	2	2	3	0	2	1	5	1	4	0	
3	6	0	0	0	4	1	0	1	1	0	1	0	0	1	3	2	0	1	1	1	0	1	0	
2	5	4	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	2	0	0	2	0	
2	3	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	2	2	1	0	0	0	
