"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	
664	718	623	799	817	522	389	73	380	79	57	305	407	410	558	
709	782	649	878	890	570	394	78	386	82	61	357	447	421	588	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
522	540	454	679	654	415	369	63	349	71	52	287	367	352	510	
15	38	21	34	37	29	8	2	10	1	0	18	17	16	22	
172	204	174	165	199	126	17	13	27	10	9	52	63	53	56	
15	38	21	34	37	29	8	2	10	1	0	18	17	16	22	
522	540	454	679	654	415	369	63	349	71	52	287	367	352	510	
0	0	8	0	8	7	2	0	2	0	0	0	0	0	3	
537	578	467	713	683	437	375	65	357	72	52	305	384	368	529	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	2	0	7	1	0	0	0	0	1	2	1	0	3	
58	45	59	45	165	38	9	3	12	0	2	13	13	15	22	
4	2	11	3	13	1	3	0	3	0	0	1	1	1	2	
466	511	374	657	468	394	361	61	337	71	49	283	365	352	497	
2	12	11	3	20	1	1	1	2	1	0	5	2	0	2	
2	3	3	2	5	1	0	0	2	0	0	1	1	0	2	
1	4	5	2	3	1	0	0	0	0	0	0	1	0	0	
2	1	2	1	2	0	1	0	1	0	0	0	0	0	1	
