"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	
816	333	299	266	216	409	247	378	287	322	327	
922	304	265	234	206	370	225	309	242	288	304	
424	93	100	0	0	0	0	0	140	66	98	
265	145	161	217	196	288	210	237	100	203	184	
0	8	1	10	4	10	11	5	0	4	5	
233	58	3	7	6	72	4	67	2	15	17	
424	101	101	10	4	10	11	5	140	70	103	
265	145	161	217	196	288	210	237	100	203	184	
5	2	0	1	1	1	0	1	0	1	2	
684	244	262	226	199	297	221	241	240	272	285	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

4	0	1	0	1	0	0	0	1	0	0	
92	47	45	16	26	27	21	26	16	9	13	
68	4	11	2	1	3	4	1	4	1	6	
498	186	198	201	167	263	192	206	217	260	259	
11	4	5	5	4	4	4	6	1	0	5	
1	2	2	1	0	0	0	1	1	0	1	
3	1	0	1	0	0	0	0	0	2	1	
7	0	0	0	0	0	0	1	0	0	0	
