"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	
193	236	135	203	90	254	107	167	220	258	79	506	370	2554	2513	
200	200	150	200	100	250	100	150	200	250	70	500	350	2500	2400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
111	129	52	91	65	118	50	84	129	137	50	203	220	1449	1354	
22	25	31	35	5	68	8	29	17	38	4	76	44	92	126	
67	46	67	74	30	64	42	37	54	75	16	221	86	959	920	
22	25	31	35	5	68	8	29	17	38	4	76	44	92	126	
111	129	52	91	65	118	50	84	129	137	50	203	220	1449	1354	
0	0	0	3	1	1	0	1	3	0	0	3	0	20	10	
133	154	83	123	69	185	58	112	143	175	54	276	264	1521	1470	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	1	2	0	1	0	0	0	0	0	1	1	6	20	
25	15	7	16	9	38	4	12	17	15	2	56	64	337	321	
18	26	9	9	7	29	6	20	18	20	10	43	38	224	207	
87	109	65	91	53	110	48	76	103	136	42	171	155	922	877	
3	2	1	3	0	2	0	1	1	2	0	2	3	15	18	
0	0	0	0	0	1	0	1	3	1	0	1	0	4	6	
0	0	0	1	0	1	0	1	0	1	0	2	0	10	7	
0	0	0	1	0	3	0	1	1	0	0	0	3	3	14	
