"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	
887	895	845	490	926	98	402	231	281	188	204	138	144	278	115	130	661	197	95	142	256	59	139	381	365	180	275	347	217	59	162	312	71	115	320	264	185	189	232	545	316	193	267	440	607	205	221	262	326	
915	905	860	492	940	98	402	233	294	192	202	141	161	290	130	133	660	205	97	145	268	60	135	381	365	192	280	357	220	57	162	315	71	113	330	264	183	202	235	560	316	210	270	510	625	206	227	261	330	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
846	846	812	458	895	88	357	207	229	155	161	113	109	248	101	115	609	143	95	125	212	54	110	270	299	160	239	279	157	46	128	261	70	99	289	226	163	139	188	392	234	114	255	423	499	179	169	239	301	
30	42	17	13	31	9	37	22	31	24	36	14	9	24	14	12	42	37	0	17	24	2	25	74	58	17	28	64	39	10	30	26	0	13	25	30	8	13	28	142	24	52	9	17	92	24	21	15	21	
39	17	31	21	14	1	8	4	34	13	5	14	43	18	15	6	9	25	2	3	32	4	0	37	8	15	13	14	24	1	4	28	1	1	16	8	12	50	19	26	58	44	6	70	34	3	37	7	8	
30	42	17	13	31	9	37	22	31	24	36	14	9	24	14	12	42	37	0	17	24	2	25	74	58	17	28	64	39	10	30	26	0	13	25	30	8	13	28	142	24	52	9	17	92	24	21	15	21	
846	846	812	458	895	88	357	207	229	155	161	113	109	248	101	115	609	143	95	125	212	54	110	270	299	160	239	279	157	46	128	261	70	99	289	226	163	139	188	392	234	114	255	423	499	179	169	239	301	
0	0	0	0	0	0	2	0	3	0	0	2	0	0	1	1	4	1	0	0	3	0	0	2	5	0	0	2	15	0	0	0	1	0	0	2	0	2	5	0	2	1	0	2	7	0	2	15	2	
876	888	829	471	926	97	392	229	257	179	197	125	118	272	114	126	647	179	95	142	233	56	135	342	352	177	267	341	181	56	158	287	69	112	314	254	171	150	211	534	256	165	264	438	584	203	188	239	320	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	1	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	
5	7	39	4	7	1	4	8	32	11	4	20	16	4	18	5	9	7	11	4	21	4	4	34	22	20	15	64	19	1	3	43	1	2	27	18	90	22	14	12	24	12	15	23	50	3	16	26	15	
2	2	2	1	1	0	2	1	2	0	1	4	0	1	2	1	1	1	0	0	15	0	1	11	2	1	4	6	1	0	0	0	0	2	0	1	4	5	11	1	7	1	0	7	9	1	2	0	3	
868	876	788	461	915	96	386	219	216	168	191	98	100	266	90	119	637	169	84	138	194	52	130	289	326	151	247	264	159	54	155	244	68	108	284	235	77	120	183	519	220	151	247	408	516	199	163	212	302	
0	1	0	1	1	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	3	0	2	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	2	0	1	0	0	
0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	4	1	0	0	0	0	0	1	0	0	2	1	0	2	0	2	0	2	0	5	0	0	
0	1	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	
1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	
