"УИК №2654"	"УИК №2655"	"УИК №2656"	"УИК №2657"	"УИК №2658"	"УИК №2659"	"УИК №2660"	"УИК №2661"	"УИК №2662"	"УИК №2663"	"УИК №2664"	"УИК №2665"	"УИК №2666"	"УИК №2667"	"УИК №2668"	"УИК №2669"	"УИК №2670"	"УИК №2671"	"УИК №2672"	"УИК №2673"	"УИК №2674"	"УИК №2675"	"УИК №2676"	"УИК №2677"	"УИК №2678"	"УИК №2679"	"УИК №2680"	"УИК №2681"	"УИК №2682"	"УИК №2683"	"УИК №2684"	"УИК №2685"	"УИК №2686"	"УИК №2687"	"УИК №2688"	"УИК №2689"	"УИК №2690"	"УИК №2691"	"УИК №2692"	"УИК №2693"	"УИК №2694"	"УИК №2695"	"УИК №2696"	"УИК №2697"	"УИК №2698"	"УИК №2699"	"УИК №2700"	"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	
2078	2128	2355	2530	1901	1616	1519	1456	1360	1889	2126	1807	2131	3004	1351	1651	1880	1506	1595	1922	2538	2738	1208	1599	3013	2437	2965	3000	2494	2578	1607	2328	1955	1662	2769	2214	2068	1996	1883	2006	1855	1775	1723	1547	1726	1944	2289	2193	3070	2568	1953	3094	2518	2113	2244	1414	933	
2000	2100	2250	2550	1750	916	727	779	1350	1850	2000	1700	1950	2800	783	1022	1750	1400	1319	1850	2400	2500	1100	1600	2700	2400	2800	2600	2400	2550	1500	2100	1900	909	2700	2200	2050	1900	1850	2000	1850	1700	1650	1500	997	1850	2350	2000	2800	2400	1800	3277	2500	2800	2100	1400	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1113	1106	1186	1362	1010	884	714	759	870	1026	1233	975	1203	1666	759	999	1078	940	867	1094	1425	1579	729	908	1832	1503	1702	1755	1431	1516	997	1150	1034	889	1582	1311	1160	1224	1058	1154	1071	1006	1001	887	944	1170	1432	1434	1841	1414	1186	1743	1545	1274	1311	805	933	
25	36	19	34	24	32	13	20	14	37	37	25	18	24	24	23	27	16	130	36	8	44	22	26	21	24	16	158	30	25	37	147	37	20	24	27	55	30	39	23	32	26	34	23	53	20	36	37	25	40	24	312	30	23	47	111	0	
862	958	1045	1154	716	0	0	0	466	787	730	700	729	1110	0	0	645	444	322	720	967	877	349	666	847	873	1082	687	939	1009	466	803	829	0	1094	862	835	646	753	823	747	668	615	590	0	660	882	529	934	946	590	1222	925	1503	742	484	267	
25	36	19	34	24	32	13	20	14	37	37	25	18	24	24	23	27	16	130	36	8	44	22	26	21	24	16	158	30	25	37	147	37	20	24	27	55	30	39	23	32	26	34	23	53	20	36	37	25	40	24	312	30	23	47	111	0	
1111	1106	1186	1361	1010	880	712	759	870	1026	1230	960	1203	1666	757	990	1078	940	867	1094	1425	1579	728	908	1830	1503	1702	1753	1430	1516	997	1150	1034	889	1582	1311	1160	1224	1056	1154	1069	1006	1001	887	944	1170	1432	1434	1841	1414	1186	1743	1544	1274	1311	804	933	
13	20	13	10	19	5	3	3	12	12	16	12	17	18	5	10	10	11	5	12	19	16	7	10	23	17	20	19	17	21	10	16	12	1	20	16	22	11	8	17	16	10	12	9	5	15	16	9	18	25	11	30	25	10	19	11	45	
1123	1122	1192	1385	1015	907	722	776	872	1051	1251	973	1204	1672	776	1003	1095	945	992	1118	1414	1607	743	924	1828	1510	1698	1892	1443	1520	1024	1281	1059	908	1586	1322	1193	1243	1087	1160	1085	1022	1023	901	992	1175	1452	1462	1848	1429	1199	2025	1549	1287	1339	904	888	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
