"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	
478	322	534	666	467	462	325	527	400	319	649	621	590	259	597	280	779	648	396	366	365	295	200	1218	827	500	432	1861	395	
515	345	600	725	460	555	320	565	445	320	615	630	595	250	635	315	800	670	390	385	380	310	230	1280	800	505	460	1915	405	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
388	267	372	484	352	371	185	387	285	210	282	391	350	205	437	216	592	329	175	213	277	232	150	760	543	397	324	1439	268	
51	34	78	68	59	91	92	83	66	62	242	147	180	39	86	39	80	269	149	116	37	39	30	176	218	76	73	98	50	
76	44	150	173	49	93	43	95	94	48	91	92	65	6	112	60	128	72	66	56	66	39	50	344	39	32	63	378	87	
51	34	78	68	59	91	92	83	66	62	242	147	180	39	86	39	80	269	149	116	37	39	30	176	218	76	73	98	50	
388	267	372	484	352	371	185	387	285	210	282	391	350	205	437	216	592	329	175	213	277	232	150	760	543	397	324	1439	268	
1	2	0	0	0	4	1	4	0	1	5	6	5	0	0	4	0	0	2	3	5	1	0	12	7	1	1	21	7	
438	299	450	552	411	458	276	466	351	271	519	532	525	244	523	251	672	598	322	326	309	270	180	924	754	472	396	1516	311	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	1	2	1	4	1	1	1	1	2	0	2	1	0	0	0	1	0	3	1	0	0	5	5	2	1	6	3	
31	42	56	60	39	94	20	76	43	29	98	59	88	30	86	32	15	63	34	29	23	19	40	142	60	73	36	184	48	
7	15	23	27	20	24	22	19	12	18	15	31	26	13	31	10	65	12	24	25	13	17	10	52	26	26	11	64	21	
396	238	358	459	350	321	223	355	286	218	395	429	399	200	395	209	586	515	262	262	269	230	130	711	649	357	341	1228	236	
2	0	4	1	0	7	3	7	5	0	4	4	4	0	6	0	3	2	2	3	2	0	0	8	8	7	1	4	1	
0	2	3	2	1	3	4	4	1	3	1	6	1	0	3	0	2	2	0	2	1	1	0	3	4	3	3	14	1	
0	0	4	0	0	2	1	0	1	1	1	1	1	0	1	0	0	2	0	2	0	3	0	3	1	3	1	11	1	
1	1	1	1	0	3	2	4	2	1	3	2	4	0	1	0	1	1	0	0	0	0	0	0	1	1	2	5	0	
