"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	
2397	2210	2372	2362	2473	2062	2547	2598	2254	2768	2141	2065	2420	1862	1962	2542	2150	1983	1238	2553	1655	1811	1830	1840	1619	2462	
2250	2150	1900	2250	2300	1950	2350	1800	2200	2400	2100	1900	2250	1400	2150	1750	2050	1900	1300	2400	1750	1850	1750	2200	1450	2400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1518	1652	1708	1471	1500	1235	1582	1489	1328	2053	1271	1265	1371	1178	1168	1502	1315	1050	583	1108	777	1016	872	1187	818	1416	
292	114	95	53	37	141	44	90	87	111	76	50	48	90	82	37	40	27	29	53	268	111	36	130	82	73	
440	384	97	726	763	574	724	221	785	236	753	585	831	132	900	211	695	823	688	1239	703	723	842	883	550	911	
292	114	95	53	37	141	44	90	87	111	76	50	48	90	82	37	40	27	29	53	267	111	36	130	82	73	
1518	1652	1708	1471	1500	1235	1582	1489	1328	2053	1271	1265	1371	1178	1168	1502	1315	1050	583	1108	776	1016	872	1187	818	1416	
19	5	24	21	20	20	18	15	11	20	17	5	10	8	14	14	6	8	2	15	4	2	11	16	12	20	
1791	1761	1779	1503	1517	1356	1608	1564	1404	2144	1330	1310	1409	1260	1236	1525	1349	1069	610	1146	1039	1125	897	1301	888	1469	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	5	21	17	23	14	21	14	16	12	16	16	15	14	10	7	16	13	6	7	7	13	1	11	7	15	
227	41	250	229	195	156	200	173	162	193	51	174	177	152	141	210	174	147	79	153	177	123	128	142	129	221	
94	21	92	79	78	67	85	101	66	76	28	67	78	70	69	101	96	59	51	74	72	69	64	70	72	77	
1278	1655	1252	1067	1100	1016	1190	1172	1074	1816	1167	962	1034	952	942	1101	996	801	449	850	737	881	653	1025	638	1086	
70	16	76	43	50	42	46	28	29	21	28	37	38	29	27	44	31	18	8	22	13	19	22	22	19	25	
15	6	14	7	15	11	7	15	8	8	11	13	8	8	8	9	15	7	5	11	6	2	10	9	11	5	
28	3	20	20	21	18	22	23	11	4	9	10	22	8	7	25	8	13	3	17	7	10	6	5	5	13	
65	14	54	41	35	32	37	38	38	14	20	31	37	27	32	28	13	11	9	12	20	8	13	17	7	27	
