"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №445"	"УИК №446"	"УИК №453"	"УИК №454"	
2637	708	2709	860	998	357	721	627	913	726	1990	549	127	1022	257	771	428	356	762	740	534	200	611	712	162	2771	549	1152	817	1254	820	429	321	313	
2613	695	2683	843	980	350	708	615	896	712	1959	539	124	1002	252	758	412	349	750	726	524	197	601	701	159	2739	539	1130	804	1240	805	421	315	309	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2595	678	2642	830	953	334	700	607	885	701	1944	520	114	984	247	748	403	336	735	716	512	189	586	695	145	2715	533	1126	796	1224	800	413	301	301	
12	3	35	4	17	1	2	4	4	2	10	3	1	4	1	4	2	2	2	3	1	1	3	2	2	13	2	2	3	6	1	2	2	2	
6	14	6	9	10	15	6	4	7	9	5	16	9	14	4	6	7	11	13	7	11	7	12	4	12	11	4	2	5	10	4	6	12	6	
12	3	35	4	17	1	2	4	4	2	10	3	1	4	1	4	2	2	2	3	1	1	3	2	2	13	2	2	3	6	1	2	2	2	
2595	678	2642	830	953	334	700	607	885	701	1944	520	114	984	247	748	403	336	735	716	512	189	586	695	145	2715	533	1126	796	1224	800	413	301	301	
2	1	1	2	1	2	2	1	2	1	1	1	2	1	3	1	1	2	3	2	1	0	1	1	2	2	2	2	1	1	1	1	1	1	
2605	680	2676	832	969	333	700	610	887	702	1953	522	113	987	245	751	404	336	734	717	512	190	588	696	145	2726	533	1126	798	1229	800	414	302	302	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

59	9	65	25	9	5	7	3	6	3	29	3	2	11	3	12	3	3	18	12	8	3	3	9	3	27	16	3	11	1	13	2	4	3	
19	11	24	7	9	5	7	6	3	8	19	9	8	19	27	23	37	24	19	14	9	18	28	38	21	3	17	56	97	38	88	24	29	56	
2	2	2	2	2	2	2	1	2	1	2	1	2	3	2	2	6	2	2	5	2	1	2	1	2	2	2	2	1	2	2	2	1	2	
2511	653	2574	791	944	313	674	593	871	682	1893	500	95	944	208	707	346	300	689	675	487	161	544	643	112	2687	493	1058	684	1178	690	381	262	236	
4	1	3	1	1	1	2	1	1	3	5	3	1	2	1	1	1	1	1	1	1	2	1	1	3	1	1	2	1	4	1	1	1	1	
2	1	3	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2	1	1	1	1	
2	1	3	1	1	3	5	1	1	2	1	1	1	3	1	3	5	1	2	6	2	2	2	1	1	2	1	1	1	2	1	1	1	1	
6	2	2	4	2	3	2	4	2	2	2	4	3	3	2	2	5	4	2	2	2	2	6	2	2	2	2	2	2	2	4	2	3	2	
