"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №3661"	
3082	1945	1895	2222	2265	2217	3515	2564	1762	2195	1721	
2350	1604	1550	1850	1850	1850	2650	2000	1350	1800	1350	
0	0	0	0	0	0	0	0	0	0	0	
2262	1531	1486	1574	1777	1708	2635	1783	1317	1645	1285	
40	26	30	77	15	19	9	32	17	41	6	
48	47	34	199	58	123	6	185	16	114	58	
40	26	30	77	15	19	9	32	17	41	6	
2262	1520	1486	1572	1777	1708	2635	1783	1317	1645	1243	
19	19	19	22	18	0	10	4	10	8	15	
2283	1527	1497	1627	1774	1727	2634	1811	1324	1678	1234	
0	0	0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	

6	4	8	6	3	3	11	5	8	3	0	
188	164	103	205	141	146	182	149	110	140	47	
138	62	67	95	124	117	217	125	42	116	14	
1871	1227	1273	1254	1423	1427	2118	1451	1118	1352	1154	
44	40	16	28	42	17	51	44	23	37	7	
5	6	6	8	7	3	8	7	2	2	1	
17	15	10	11	10	7	18	16	8	18	7	
14	9	14	20	24	7	29	14	13	10	4	
