"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	
1687	1636	1441	2011	1908	1897	1957	1803	1321	1739	1505	1428	1715	1762	1123	1947	1110	1722	1915	1688	1988	1936	1818	2083	1304	1824	1818	2033	1832	1957	1930	1539	1756	1656	1265	1772	1825	1807	1093	1213	1797	1693	1605	1686	1491	1945	1753	2042	2112	2011	1742	1755	1574	1920	1884	1238	1434	1744	1687	1916	2215	1947	1981	1638	1406	1771	1629	1012	2256	2192	1342	1524	2314	2174	498	
1900	1900	1700	2500	1900	2100	2200	2000	1400	2000	1800	1600	2000	1900	1200	2200	1300	2000	2000	2000	2200	2200	2100	2100	1500	1900	2100	2100	2100	2300	2000	1800	2000	1900	1400	2100	1900	2000	1200	1500	2000	1900	1700	1900	1400	2200	2000	2200	2200	2100	2000	2000	1800	2200	2100	1400	1500	2000	2000	2200	2400	2100	2100	1900	1600	2100	1800	1200	2600	2300	1500	1500	2500	2600	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1160	1031	947	1433	1198	1159	1221	1134	809	1210	964	815	1154	1172	755	1206	737	1188	1182	1022	1408	1345	1203	1396	917	1037	1178	1248	1167	1506	1354	991	1285	1151	812	1150	1189	1202	721	836	1137	1120	1030	1016	986	1243	1066	1262	1393	1207	1348	1162	1135	1254	1305	855	868	1249	987	1244	1422	1248	1328	1076	818	1207	1125	677	1473	1310	894	896	1523	1490	344	
58	36	52	26	30	18	22	64	58	36	35	5	33	28	47	46	27	24	20	24	45	15	20	79	34	52	16	26	20	20	105	92	19	51	13	93	19	25	22	14	131	29	64	84	5	85	47	25	26	158	31	29	38	20	33	25	23	10	23	25	20	64	43	73	91	68	66	61	81	136	32	55	98	21	13	
682	833	701	1041	672	923	957	802	533	754	801	780	813	700	398	948	536	788	798	954	747	840	877	625	549	811	906	826	913	774	541	717	696	698	575	857	692	773	457	650	732	751	606	800	409	872	887	913	781	735	621	809	627	926	762	520	609	741	990	931	958	788	729	751	691	825	609	462	1046	854	574	549	879	1089	143	
58	36	52	26	30	18	22	64	58	36	35	5	33	28	44	46	27	24	20	24	45	15	20	79	34	52	16	26	20	20	105	92	19	51	12	93	19	25	22	14	131	29	64	84	5	85	47	25	26	158	31	29	38	20	33	25	23	10	23	25	20	64	43	73	91	68	66	59	81	136	32	55	98	21	13	
1160	1031	947	1433	1198	1137	1220	1134	806	1210	964	815	1154	1157	755	1206	736	1185	1182	1022	1408	1343	1202	1396	917	1037	1178	1246	1167	1505	1344	991	1283	1151	812	1145	1189	1202	721	836	1137	1120	1030	1014	985	1241	1066	1252	1393	1204	1346	1162	1135	1251	1304	854	868	1249	987	1242	1422	1248	1328	1076	818	1207	1124	677	1466	1309	862	896	1523	1487	343	
11	17	25	18	27	9	19	5	4	14	6	13	8	21	16	20	13	17	15	22	18	17	19	17	9	8	13	16	21	10	20	12	14	13	10	16	26	9	4	11	17	16	6	11	14	19	18	18	22	7	23	13	15	18	12	9	9	19	11	17	17	15	22	11	13	15	15	11	29	24	13	7	31	18	1	
1207	1050	974	1441	1201	1146	1223	1193	860	1232	993	807	1179	1164	783	1232	750	1192	1187	1024	1435	1341	1203	1458	942	1081	1181	1256	1166	1515	1429	1071	1288	1189	814	1222	1182	1218	739	839	1251	1133	1088	1087	976	1307	1095	1259	1397	1355	1354	1178	1158	1253	1325	870	882	1240	999	1250	1425	1297	1349	1138	896	1260	1175	725	1518	1421	881	944	1590	1490	355	
