"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	
1815	1809	2328	2360	351	207	226	320	140	170	198	268	189	285	230	804	173	146	366	229	122	
1472	1515	1935	1954	288	164	179	272	112	134	169	224	167	244	188	716	139	116	296	191	106	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1083	988	1091	1244	144	67	99	201	62	96	91	173	62	127	98	454	107	68	199	113	67	
43	40	76	54	56	21	36	42	26	24	29	20	42	51	48	90	17	24	31	39	15	
346	487	768	656	88	76	44	29	24	14	49	31	63	66	42	172	15	24	66	39	24	
43	40	76	54	56	21	36	42	26	24	29	20	42	51	48	90	17	24	31	39	15	
1083	988	1091	1244	144	67	99	201	62	96	91	173	62	127	98	454	107	68	199	113	67	
24	12	14	12	0	0	0	2	0	0	1	0	2	1	4	5	1	0	1	0	0	
1102	1016	1153	1286	200	88	135	241	88	120	119	193	102	177	142	539	123	92	229	152	82	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	6	11	23	1	0	2	2	2	1	1	0	0	0	1	5	0	1	2	3	0	
148	151	214	236	16	3	11	24	2	13	12	23	1	10	19	108	9	8	26	13	7	
127	122	121	124	32	8	25	45	19	9	10	19	19	14	14	58	10	9	37	21	12	
779	708	782	869	142	73	93	167	64	96	91	146	81	151	106	351	102	73	154	114	59	
23	12	9	13	3	0	4	0	1	0	1	2	0	1	2	4	1	1	2	0	3	
12	7	4	8	2	4	0	2	0	0	2	3	1	1	0	6	1	0	5	0	0	
2	5	8	9	3	0	0	1	0	1	0	0	0	0	0	3	0	0	2	1	1	
2	5	4	4	1	0	0	0	0	0	2	0	0	0	0	4	0	0	1	0	0	
