"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	
1100	1637	2153	2017	2360	1720	1839	1430	1630	1656	1566	1518	1777	1574	1808	1417	1493	1585	1628	1698	1919	2177	1983	1731	1822	1715	1769	1686	1968	1592	1755	1679	1841	1653	1656	1753	1976	1641	2402	2008	2125	1231	1893	2654	2128	1399	1408	1219	1336	2085	1593	1679	1599	1908	1505	1912	2215	586	490	1957	2184	2580	339	
1200	1900	2400	2100	2800	2000	2200	1700	1900	1700	1800	1700	2000	1900	2100	1600	1800	1900	1900	2000	2200	2200	2100	2000	2200	2000	2000	1900	2000	2000	2000	2000	2000	2000	2000	2000	2200	2000	2500	2200	2500	1500	2200	2500	2200	1600	1600	1400	1500	2300	1900	1900	1900	1800	1600	2200	2400	1500	500	2000	2600	3000	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
565	917	1332	1192	1635	1136	1196	929	1155	884	1024	1006	1179	1032	1164	848	1043	981	1131	1053	1313	1152	1259	1022	1342	1159	1037	1021	1160	1025	1384	1205	1180	1080	1113	1188	1349	975	1370	1385	1334	850	1230	1395	1455	881	880	864	914	1282	1109	1176	1093	1272	843	1104	1304	69	416	1326	1546	1482	106	
59	84	146	23	163	82	77	67	66	46	68	38	86	71	26	74	45	39	65	38	35	61	25	34	43	63	26	24	16	37	73	88	51	36	31	27	38	43	42	42	21	22	93	29	29	80	81	66	24	28	33	53	59	91	66	82	81	517	0	32	13	58	233	
576	899	922	885	1002	782	927	704	679	770	708	656	735	797	910	678	712	880	704	909	852	987	816	944	815	778	937	855	824	938	543	707	769	884	856	785	813	982	1088	773	1145	628	877	1076	716	639	639	470	562	990	758	671	748	437	691	1014	1015	914	84	642	1041	1460	361	
59	84	146	23	161	82	77	67	66	46	68	37	86	71	26	74	45	39	65	38	35	61	25	34	43	63	26	24	16	37	73	88	51	36	31	27	38	43	42	42	21	22	93	29	29	80	81	66	24	28	33	53	59	91	66	82	81	517	0	32	13	58	200	
565	917	1332	1187	1631	1136	1196	929	1155	882	1022	1004	1178	1032	1164	848	1043	981	1128	1051	1303	1148	1259	1019	1342	1157	1037	1017	1159	1025	1384	1205	1176	1077	1111	1186	1349	975	1368	1383	1331	850	1230	1379	1450	870	878	861	890	1281	1107	1174	1093	1266	843	1104	1298	69	414	1326	1546	1482	102	
12	7	13	7	30	12	16	11	14	8	14	9	10	10	12	11	15	17	15	16	29	15	20	20	18	16	18	15	18	15	18	18	14	19	15	22	16	10	19	12	17	6	19	26	19	21	9	10	13	14	19	16	7	23	7	26	16	0	2	17	11	25	4	
612	994	1465	1203	1762	1206	1257	985	1207	920	1076	1032	1254	1093	1178	911	1073	1003	1178	1073	1309	1194	1264	1033	1367	1204	1045	1026	1157	1047	1439	1275	1213	1094	1127	1191	1371	1008	1391	1413	1335	866	1304	1382	1460	929	950	917	901	1295	1121	1211	1145	1334	902	1160	1363	586	412	1341	1548	1515	298	
