"УИК №701"	"УИК №702"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №716"	"УИК №717"	"УИК №718"	
102	203	160	98	307	116	285	122	1111	1955	247	122	216	286	1613	496	
90	150	150	90	300	100	250	100	1000	2000	200	100	150	250	1500	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58	71	83	37	152	60	125	48	443	961	114	51	75	95	860	283	
7	79	30	22	76	23	52	36	226	131	46	40	61	90	59	60	
25	0	37	31	72	17	73	16	331	908	40	9	14	65	581	107	
7	79	30	22	76	23	52	36	226	131	46	40	61	90	59	60	
58	71	83	37	152	60	125	48	443	961	114	51	75	95	860	283	
1	2	0	1	1	0	4	0	8	17	0	0	0	1	12	3	
64	148	113	58	227	83	173	84	661	1075	160	91	136	184	907	340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	3	0	1	0	2	1	9	9	1	0	0	2	11	2	
17	8	17	4	39	13	26	11	71	172	27	1	15	16	125	57	
1	8	7	7	28	6	14	7	60	113	15	3	10	14	86	36	
43	125	85	45	156	60	122	64	504	727	111	86	110	142	664	232	
1	1	0	0	0	4	3	1	3	18	4	0	1	3	9	4	
1	1	1	2	1	0	3	0	4	13	1	0	0	3	5	4	
0	2	0	0	1	0	2	0	3	12	0	0	0	4	5	1	
1	2	0	0	1	0	1	0	7	11	1	1	0	0	2	4	
