"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	
2268	2006	2042	1904	1969	1922	1183	1037	939	
2200	2000	2000	2100	2000	1900	1100	1000	900	
0	0	0	0	0	0	0	0	0	
1587	1402	1493	1054	1522	1317	802	343	416	
84	35	121	70	127	100	63	382	241	
529	563	386	976	351	483	235	275	243	
84	35	121	70	127	100	63	382	241	
1503	1402	1493	1054	1522	1317	801	343	416	
13	4	11	6	13	12	5	6	6	
1574	1433	1603	1118	1636	1405	859	719	651	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

9	7	6	10	10	7	4	3	2	
206	177	221	203	127	172	136	71	61	
132	89	98	71	84	97	41	33	23	
1189	1125	1243	814	1398	1095	657	596	552	
11	10	14	5	7	12	6	5	5	
18	17	13	9	7	16	11	9	5	
4	4	8	4	3	3	2	2	3	
5	4	0	2	0	3	2	0	0	
