"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	
1648	779	444	105	1490	251	155	371	500	209	432	
1939	778	444	105	1741	251	160	380	528	205	432	
0	0	33	4	150	20	0	22	30	0	115	
1554	730	393	99	1200	224	155	336	445	201	311	
0	47	18	2	140	7	0	13	15	4	4	
385	1	0	0	251	0	5	9	38	0	2	
0	47	51	6	140	27	0	35	45	4	119	
1554	730	393	99	1350	224	155	336	445	201	311	
24	2	8	0	19	0	2	11	0	4	2	
1530	775	436	105	1471	251	153	360	490	201	428	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

6	0	2	0	4	0	1	0	0	0	0	
87	6	29	3	112	1	11	1	1	5	4	
79	5	7	0	96	0	7	1	1	0	0	
1329	762	395	102	1237	250	133	358	488	195	424	
18	0	1	0	9	0	0	0	0	1	0	
4	0	1	0	8	0	1	0	0	0	0	
4	1	1	0	2	0	0	0	0	0	0	
3	1	0	0	3	0	0	0	0	0	0	
