"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	
1402	1266	1250	1338	1374	1126	1463	394	1088	1258	751	254	1307	741	1650	772	315	580	390	361	306	
1180	1070	1050	1140	1160	950	1220	400	920	1010	630	250	1160	620	1370	640	250	500	340	345	250	
0	0	0	0	0	0	0	93	0	0	0	0	32	0	13	0	0	0	0	38	0	
865	717	746	749	894	680	841	210	598	594	349	143	610	253	809	412	148	279	205	157	181	
51	65	55	132	40	59	48	47	80	161	94	75	222	97	94	65	60	70	40	46	18	
264	288	249	259	226	211	331	50	242	255	187	32	296	270	454	163	42	151	95	104	51	
51	65	55	132	40	59	48	140	80	161	94	75	254	97	107	65	60	70	40	84	18	
863	717	746	747	894	680	841	210	598	594	349	143	610	253	809	412	148	279	205	157	181	
13	12	10	18	18	15	15	4	4	7	4	3	11	19	23	7	1	0	6	5	2	
901	770	791	861	916	724	874	346	674	748	439	215	853	331	893	470	207	349	239	236	197	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	11	5	4	8	7	8	1	13	10	1	1	12	3	11	6	2	1	2	0	1	
114	83	95	76	116	77	92	24	82	80	39	1	75	36	95	65	20	24	28	14	15	
82	51	50	83	79	54	73	49	46	62	50	11	102	26	78	44	25	52	31	21	38	
634	575	606	665	668	552	664	266	511	563	329	197	635	257	673	331	154	265	168	194	131	
13	13	7	11	15	15	21	2	8	15	5	3	6	0	11	7	1	3	1	0	5	
12	14	9	10	5	7	5	2	9	4	5	1	12	1	11	9	3	4	4	6	5	
14	8	8	5	11	8	7	1	3	7	6	1	7	6	6	5	0	0	1	1	1	
17	15	11	7	14	4	4	1	2	7	4	0	4	2	8	3	2	0	4	0	1	
