"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	
1797	1357	209	429	265	382	86	471	271	299	135	510	262	211	100	534	310	321	328	530	721	188	
2030	1431	227	484	280	376	87	532	301	316	132	541	310	234	106	552	372	348	365	593	838	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1597	1166	150	362	235	331	70	409	230	269	109	436	234	177	92	409	262	269	292	459	648	172	
46	64	46	44	23	42	16	50	37	22	15	54	25	32	6	117	39	47	29	52	60	16	
387	201	31	78	22	3	1	73	34	25	8	51	51	25	8	26	71	32	44	82	130	12	
46	64	46	44	23	42	16	50	37	22	15	54	25	32	6	117	39	47	29	52	60	16	
1596	1166	150	362	235	331	70	409	230	269	109	436	234	177	92	409	262	269	292	459	648	172	
26	11	3	5	3	5	3	13	2	3	2	3	2	2	0	4	2	4	9	8	34	17	
1616	1219	193	401	255	368	83	446	265	288	122	487	257	207	98	522	299	312	312	503	674	171	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	2	0	1	0	3	0	1	1	3	1	4	1	0	3	2	2	2	1	3	6	1	
241	208	23	41	24	56	16	55	27	48	12	37	26	26	8	52	37	46	35	71	76	13	
101	62	11	39	14	14	4	14	24	11	3	22	6	6	5	22	16	17	11	14	27	5	
1226	919	156	317	209	283	58	368	209	220	104	410	219	168	82	434	243	243	257	408	547	148	
17	16	0	1	2	1	3	2	3	2	1	11	4	4	0	6	0	3	2	4	6	2	
8	3	2	1	1	7	1	4	0	0	0	0	1	2	0	3	0	1	4	1	6	1	
6	6	1	1	2	2	1	2	0	3	1	3	0	1	0	2	1	0	1	2	3	0	
9	3	0	0	3	2	0	0	1	1	0	0	0	0	0	1	0	0	1	0	3	1	
