"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	
203	223	168	150	2178	118	191	347	339	
242	262	211	208	2006	151	256	392	372	
0	0	0	0	341	0	39	5	31	
174	182	142	112	1084	99	123	249	222	
0	3	2	9	78	5	5	16	6	
68	77	67	87	503	47	89	122	113	
0	3	2	9	418	5	44	21	37	
174	182	142	112	1084	99	123	249	222	
2	0	1	0	13	1	0	3	0	
172	185	143	121	1489	103	167	267	259	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

0	0	1	0	3	0	2	0	0	
0	4	0	1	100	3	4	3	10	
5	3	3	3	112	1	3	7	7	
166	176	138	117	1221	97	155	255	240	
0	2	1	0	26	1	2	1	0	
0	0	0	0	12	1	1	1	2	
0	0	0	0	5	0	0	0	0	
1	0	0	0	10	0	0	0	0	
