"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	
1665	1560	200	244	303	166	197	155	292	100	389	99	140	319	250	159	210	
1600	1600	210	260	300	180	220	200	370	120	400	120	170	330	330	150	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1055	1080	118	142	222	88	142	101	142	75	265	68	96	172	138	113	143	
170	74	48	83	29	25	46	43	125	19	75	26	33	133	78	22	44	
375	446	44	35	49	67	32	56	103	26	60	26	41	25	114	15	33	
170	74	48	83	29	25	46	43	125	19	75	26	33	133	78	22	44	
1055	1080	118	142	222	88	142	101	142	75	265	68	96	172	138	113	143	
13	23	0	2	3	1	1	0	1	1	0	0	0	2	4	0	0	
1212	1131	166	223	248	112	187	144	266	93	340	94	129	303	212	135	187	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	15	1	2	2	0	0	2	0	1	0	1	0	5	1	2	2	
110	87	7	9	24	18	1	2	23	2	26	10	4	14	14	11	12	
104	155	9	17	18	5	17	16	13	4	14	6	8	16	17	10	14	
943	847	147	188	197	87	166	120	220	85	297	74	116	260	176	109	155	
17	5	1	5	3	2	0	1	0	1	3	2	0	5	1	2	3	
8	11	1	0	4	0	2	1	6	0	0	0	1	1	2	0	1	
8	8	0	1	0	0	1	2	4	0	0	1	0	2	0	1	0	
6	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	
