"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	
1625	2171	1674	1975	1895	2277	1293	214	104	357	411	193	226	171	370	204	384	270	178	238	160	166	158	195	152	648	113	164	
1500	2000	1600	1900	1800	2200	1250	220	120	350	400	200	240	190	400	240	450	280	200	290	155	170	160	230	160	650	130	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1031	1424	1050	1265	1174	1395	805	141	80	259	235	117	111	111	169	129	260	196	157	181	128	128	96	164	69	441	67	123	
127	169	43	139	151	149	171	41	15	82	90	42	93	45	131	51	60	26	11	41	20	26	48	22	68	105	29	25	
342	407	507	496	475	656	274	38	25	9	75	41	36	34	100	60	130	58	32	68	7	16	16	44	23	104	34	32	
127	169	43	139	151	149	171	41	15	82	90	42	93	45	131	51	60	26	11	41	20	26	48	22	68	105	29	25	
1031	1423	1050	1265	1174	1395	805	141	80	259	235	117	111	111	169	129	260	196	157	181	128	128	96	164	69	441	67	123	
12	17	8	21	21	15	7	1	0	2	0	0	1	1	0	0	3	1	0	1	1	1	0	1	0	2	1	0	
1146	1575	1085	1383	1304	1529	969	181	95	339	325	159	203	155	300	180	317	221	168	221	147	153	144	185	137	544	95	148	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	12	6	11	12	13	9	1	3	1	2	0	1	1	2	0	1	0	1	4	0	0	0	0	1	10	1	0	
131	187	132	137	133	179	84	12	9	25	37	10	6	10	14	10	18	10	7	16	7	14	9	18	6	31	12	6	
103	143	87	116	139	176	91	20	5	24	24	14	21	8	30	11	26	14	8	20	14	18	18	12	17	52	7	15	
881	1196	832	1077	996	1105	757	140	78	285	259	132	171	135	249	155	264	192	152	179	123	120	115	154	111	439	71	124	
10	9	7	11	6	23	11	0	0	2	0	1	2	0	2	0	5	2	0	2	2	1	0	0	2	2	2	1	
9	19	7	12	10	14	8	4	0	1	3	2	1	0	2	3	1	1	0	0	0	0	1	1	0	4	1	1	
5	4	11	14	4	6	7	4	0	1	0	0	1	0	1	0	2	1	0	0	0	0	1	0	0	2	1	0	
3	5	3	5	4	13	2	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	4	0	1	
