"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	
1669	1541	339	69	177	178	209	195	185	138	212	212	243	132	159	144	111	147	352	107	405	439	255	261	403	89	
1650	1550	350	70	180	180	210	180	180	140	220	230	280	130	150	150	110	150	350	100	390	440	250	260	450	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1143	1002	204	42	104	103	106	101	81	85	140	123	132	68	108	89	59	71	204	70	257	260	143	130	216	54	
55	82	53	10	30	33	35	44	48	14	33	43	49	38	21	28	13	36	61	21	88	76	33	50	40	8	
452	466	93	18	46	44	69	35	51	41	47	64	99	24	21	33	38	43	85	9	45	104	74	80	194	18	
55	82	53	10	30	33	35	44	48	14	33	43	49	38	21	28	13	36	61	21	88	76	33	50	40	8	
1143	1001	204	42	104	103	106	101	81	85	140	123	132	68	108	89	59	71	204	70	257	260	143	130	216	54	
14	10	1	0	2	0	1	1	0	0	6	0	0	2	1	3	0	0	2	0	2	10	0	0	5	1	
1184	1073	256	52	132	136	140	144	129	99	167	166	181	104	128	114	72	107	263	91	343	326	176	180	251	61	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	4	0	1	1	2	0	0	0	
131	84	15	2	7	8	10	18	6	2	15	13	9	3	11	7	10	5	27	5	18	28	13	9	16	3	
95	66	9	4	13	7	9	6	11	2	9	6	8	2	4	6	5	15	11	0	15	22	12	6	15	7	
937	906	230	45	109	117	116	119	110	93	143	146	162	97	112	100	54	83	220	85	306	273	146	164	216	50	
8	6	1	0	1	1	2	0	0	1	0	0	2	1	0	0	2	2	1	1	1	0	1	1	1	0	
5	0	1	0	0	3	3	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	
3	4	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	
3	4	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	
