"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	
534	1242	579	497	213	60	99	490	112	380	44	821	140	220	231	
574	1116	567	500	215	60	101	491	114	455	44	824	163	222	237	
0	0	0	0	40	4	28	92	13	98	5	78	0	0	35	
416	840	496	458	163	51	71	367	98	249	39	551	122	177	189	
0	30	6	31	9	5	0	18	1	8	0	27	14	39	7	
158	246	65	11	3	0	2	14	2	100	0	168	27	6	6	
0	30	6	31	49	9	28	110	14	106	5	105	14	39	42	
416	840	496	458	163	51	71	367	98	249	39	551	122	177	189	
6	11	4	5	0	2	0	12	1	1	0	12	0	0	0	
410	859	498	484	212	58	99	465	111	354	44	644	136	216	231	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	6	0	1	0	1	0	0	2	0	0	3	2	2	1	
31	70	31	15	6	0	0	5	2	14	1	60	6	4	3	
30	66	37	40	7	5	6	8	9	27	3	76	6	7	7	
339	687	421	417	195	49	92	446	96	305	40	491	118	199	220	
3	17	3	4	2	2	1	4	1	5	0	7	2	2	0	
2	3	3	3	1	1	0	2	1	1	0	2	1	0	0	
1	4	2	2	0	0	0	0	0	0	0	4	0	1	0	
3	6	1	2	1	0	0	0	0	2	0	1	1	1	0	
