"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	
302	220	206	341	336	300	339	331	609	327	395	340	196	144	243	166	187	127	381	291	244	201	117	194	
327	238	224	372	354	315	371	362	645	356	471	376	217	157	268	183	223	144	384	304	283	245	138	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
211	144	139	251	253	217	224	201	414	240	286	261	84	96	148	132	108	67	184	136	153	120	43	104	
64	55	48	43	57	44	71	73	97	55	71	59	84	17	48	18	51	25	137	112	53	40	52	52	
52	39	37	78	44	54	76	88	134	61	114	56	49	44	72	33	64	52	63	56	77	85	43	34	
64	55	48	43	57	44	71	73	97	55	71	59	84	17	48	18	51	25	137	112	53	40	52	52	
211	144	139	251	253	217	224	201	414	240	286	261	84	96	148	132	108	67	184	136	153	120	43	104	
0	2	0	0	0	1	0	7	0	2	0	0	3	0	0	0	0	0	3	0	2	0	0	2	
275	197	187	294	310	260	295	267	511	293	357	320	165	113	196	150	159	92	318	248	204	160	95	154	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	2	2	0	0	2	2	1	1	0	2	0	0	0	1	0	2	1	1	2	2	1	
24	12	8	37	30	21	26	17	33	25	40	13	15	14	15	28	16	10	29	8	11	12	4	10	
13	7	5	16	15	16	11	20	19	14	14	6	10	11	10	5	10	4	7	12	13	4	4	1	
237	175	173	239	251	215	254	226	450	247	300	298	137	82	168	113	129	75	271	224	176	141	84	141	
0	2	0	0	4	3	0	2	5	4	1	1	1	1	3	0	0	0	3	2	1	0	0	0	
0	0	1	0	2	3	1	0	2	1	0	1	0	3	0	2	0	0	4	1	2	1	1	1	
0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	3	2	2	0	0	0	0	0	
0	1	0	0	3	2	2	0	0	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	
