"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	"УИК №2713"	"УИК №2714"	"УИК №2715"	"УИК №2716"	"УИК №2717"	"УИК №2718"	"УИК №2719"	"УИК №2720"	
1561	1462	1320	1442	1439	1220	1264	1333	1469	1367	1509	1425	1215	1357	1489	1153	1179	1401	1595	1391	
1500	1500	1300	1400	1400	1200	1200	1300	1500	1400	1500	1400	1100	1300	1400	1100	1100	1400	1500	1400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1221	910	845	938	1189	1015	1003	987	1178	1293	1029	1177	930	1083	1064	660	925	1163	971	1026	
15	46	17	22	41	75	134	25	26	25	22	53	43	38	43	26	42	31	152	22	
264	544	438	440	170	110	63	288	296	82	449	170	127	179	293	414	133	206	377	352	
15	46	17	22	41	75	134	25	26	25	22	53	43	38	43	26	42	31	152	22	
1221	910	845	938	1189	1015	1002	987	1178	1293	1028	1177	930	1083	1064	660	925	1163	971	1026	
1	9	8	10	6	6	3	12	7	7	16	3	2	0	9	9	9	9	8	5	
1235	947	854	950	1224	1084	1133	1000	1197	1311	1034	1227	971	1121	1098	677	958	1185	1115	1043	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	5	9	3	2	6	5	3	1	4	15	2	19	4	5	6	6	7	3	
239	98	118	125	77	58	56	107	96	60	115	69	96	67	65	64	62	111	128	86	
117	88	104	119	93	82	111	93	136	79	111	108	80	86	84	87	93	133	116	100	
867	729	601	669	1031	926	930	765	932	1167	778	1005	779	897	931	500	773	913	836	842	
2	15	5	8	7	3	13	12	12	1	8	10	6	13	5	8	9	11	12	1	
4	8	12	12	8	8	2	12	11	1	6	3	3	5	4	3	8	4	6	5	
1	4	6	3	4	3	14	5	4	1	8	7	2	23	1	5	3	4	5	4	
3	1	3	5	1	2	1	1	3	1	4	10	3	11	4	5	4	3	5	2	
