"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	
1303	505	193	102	424	71	77	498	
1600	510	230	130	480	125	100	525	
285	0	47	0	155	0	0	131	
943	483	132	96	249	71	77	343	
32	14	7	0	0	0	0	16	
340	13	44	34	76	54	23	35	
317	14	54	0	155	0	0	147	
942	483	132	96	249	71	77	343	
14	5	1	0	1	0	0	3	
1245	492	185	96	403	71	77	487	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

6	6	0	1	1	0	0	2	
75	38	12	3	13	1	1	17	
111	53	16	6	27	9	3	40	
1008	376	151	83	343	56	73	410	
17	8	4	2	12	2	0	7	
12	4	1	0	3	2	0	1	
8	6	0	1	2	1	0	6	
8	1	1	0	2	0	0	4	
