"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	
1150	1066	900	115	290	191	108	361	194	194	235	141	399	248	373	207	179	
1000	1000	900	100	300	190	110	350	190	200	220	130	400	250	350	200	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
629	495	433	35	116	72	50	85	69	82	92	73	182	58	162	91	65	
41	67	32	19	56	34	9	136	50	47	62	20	60	74	73	49	68	
330	438	435	46	128	84	51	129	71	71	66	37	158	118	115	60	47	
41	67	32	19	56	34	9	136	50	47	62	20	60	74	73	49	68	
629	495	433	35	116	72	50	85	69	82	92	73	182	58	162	91	65	
8	5	4	0	0	1	0	3	0	2	0	0	4	0	1	0	0	
662	557	461	54	172	105	59	218	119	127	154	93	238	132	234	140	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	5	4	0	1	0	0	3	2	0	1	0	0	0	0	2	0	
119	81	88	5	17	12	4	25	13	14	20	5	20	9	21	32	5	
60	53	34	6	16	9	7	27	4	23	10	17	18	14	20	4	10	
461	405	320	43	132	79	48	155	98	87	120	70	195	107	189	97	114	
5	5	8	0	3	3	0	1	2	2	2	1	3	0	2	1	0	
2	5	3	0	2	0	0	4	0	1	1	0	1	2	0	3	1	
5	1	3	0	1	1	0	2	0	0	0	0	1	0	0	0	1	
5	2	1	0	0	1	0	1	0	0	0	0	0	0	2	1	2	
