"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	
1707	1704	311	830	313	371	253	1289	237	296	453	181	285	195	357	182	405	
1760	1770	300	870	330	390	260	1420	250	320	460	190	310	190	420	190	420	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
887	1058	162	511	138	230	107	761	142	184	155	82	172	117	186	112	214	
271	156	44	75	55	31	61	80	32	26	122	15	61	42	105	21	72	
602	556	94	284	137	129	92	579	76	110	183	93	77	31	129	57	134	
271	156	44	75	55	31	61	80	32	26	122	15	61	42	105	21	72	
887	1058	162	511	138	230	107	761	142	184	155	82	172	117	186	112	214	
9	15	2	11	0	3	0	7	0	2	0	2	3	4	2	0	1	
1149	1199	204	575	193	258	168	834	174	208	277	95	230	155	289	133	285	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	5	1	4	1	0	0	3	0	1	2	1	1	1	1	1	1	
140	171	12	50	20	33	19	67	16	26	19	8	34	6	28	15	31	
89	111	12	35	20	26	8	59	17	23	29	13	15	7	28	11	14	
891	888	178	474	148	191	140	675	132	149	221	71	179	140	230	105	231	
10	11	0	4	2	3	1	14	2	4	5	1	0	1	0	1	1	
4	5	0	5	0	3	0	7	3	4	0	1	1	0	1	0	4	
4	5	1	3	1	2	0	7	2	0	0	0	0	0	1	0	1	
4	3	0	0	1	0	0	2	2	1	1	0	0	0	0	0	2	
