"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	
1636	1585	2088	244	658	2137	1279	2278	1941	2055	2342	2209	2067	2479	2295	2507	1354	1958	2367	2549	2444	2807	2362	1889	2681	2140	1933	1351	1514	2074	75	2215	2408	2716	2675	2300	1669	2757	2047	1713	2712	1917	2292	1940	2091	1784	2165	2585	1995	2567	2407	1830	2191	1995	2011	2036	2190	749	2455	1568	2147	2387	2281	2113	1359	1595	314	2367	2156	2715	2158	2332	1505	2080	1170	1410	2336	2152	2097	1794	2271	
1600	1500	2000	245	660	2000	1200	2100	1900	1900	2200	2100	2000	2300	2200	2400	1300	1900	2000	2400	2400	2600	2300	1800	2400	2000	1800	1200	1400	2000	75	2200	2300	2600	2600	2100	1500	2600	2000	1600	2400	1800	2200	1800	2000	1700	2000	2500	1900	2500	2300	1700	2100	1900	1900	1900	2100	600	2000	1500	2000	2300	2300	1800	1300	1500	313	2300	2100	2400	2100	2300	1300	1900	1100	1300	2100	2000	2000	1700	2200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1084	1021	1369	153	624	1372	797	1538	1209	1338	1389	1333	1266	1519	1522	1588	851	1229	1469	1522	1556	1839	1512	1160	1580	976	1167	805	783	1086	33	1139	1552	1417	1607	1437	955	1646	1103	983	1594	1128	1434	1212	1210	1076	1171	1259	1197	1505	1485	1106	1356	1308	1303	1162	1427	448	1801	745	1334	1280	1366	1141	500	705	146	1306	1231	2341	1255	1289	802	1518	833	963	1646	1546	1388	1264	1529	
25	30	25	91	33	22	25	20	34	21	29	30	33	63	21	29	23	22	23	28	36	112	33	40	27	25	23	13	41	49	42	20	48	58	43	18	22	38	31	19	63	43	52	31	41	17	46	52	22	50	50	12	28	29	23	31	26	26	14	17	35	49	24	26	38	54	166	60	39	0	32	51	26	19	7	5	24	24	11	5	25	
491	449	606	1	3	606	378	542	657	541	782	737	701	718	657	783	426	649	508	846	808	649	755	600	793	999	610	382	576	865	0	1041	700	1125	950	645	523	916	866	598	743	629	714	557	749	607	783	1189	681	945	765	582	716	563	574	707	647	126	185	738	631	971	910	633	762	741	1	934	830	59	813	960	472	363	260	332	430	430	601	431	646	
25	30	25	91	33	22	25	20	34	21	29	30	33	63	21	29	23	22	23	32	36	112	33	40	27	25	23	13	41	49	42	20	48	58	43	18	22	38	31	19	63	43	52	31	41	17	46	52	22	50	50	12	28	29	23	31	26	26	14	17	35	49	24	26	38	54	166	60	39	0	32	51	26	19	7	5	24	24	11	5	25	
1084	1021	1368	153	624	1372	797	1538	1209	1338	1389	1333	1266	1519	1521	1585	851	1229	1468	1490	1556	1839	1512	1160	1580	975	1167	804	783	1086	33	1139	1552	1417	1607	1437	955	1646	1103	983	1594	1128	1434	1212	1210	1076	1170	1259	1197	1505	1485	1106	1356	1304	1299	1162	1427	448	1801	744	1334	1280	1357	1141	500	705	146	1306	1231	2341	1255	1289	801	1518	833	963	1646	1544	1388	1264	1529	
173	6	19	3	11	21	13	18	20	16	16	25	15	28	22	22	11	14	24	25	19	41	17	15	29	13	24	8	12	20	0	11	23	15	19	12	11	21	21	10	19	19	23	20	19	17	12	24	20	20	29	17	24	15	24	34	17	6	15	19	22	15	19	24	5	10	19	15	24	23	21	14	4	20	8	7	13	17	15	14	18	
936	1045	1374	241	646	1373	809	1540	1223	1343	1402	1338	1284	1554	1520	1592	863	1237	1467	1497	1573	1910	1528	1185	1578	987	1166	809	812	1115	75	1148	1577	1460	1631	1443	966	1663	1113	992	1638	1152	1463	1223	1232	1076	1204	1287	1199	1535	1506	1101	1360	1318	1298	1159	1436	468	1800	742	1347	1314	1362	1143	533	749	293	1351	1246	2318	1266	1326	823	1517	832	961	1657	1551	1384	1255	1536	
