"УИК №2591"	"УИК №2592"	"УИК №2593"	"УИК №2594"	"УИК №2595"	
1291	999	1242	967	1933	
1050	800	1050	800	1914	
0	0	0	0	270	
956	782	967	681	1465	
11	6	4	4	102	
83	12	79	115	77	
11	6	4	4	372	
956	782	967	681	1465	
12	6	7	5	20	
955	782	964	680	1817	
0	0	0	0	0	
0	0	0	0	0	

1	6	9	6	7	
111	90	104	62	144	
93	62	88	82	162	
720	608	750	513	1408	
13	7	7	8	48	
6	3	3	4	20	
5	4	3	2	14	
6	2	0	3	14	
