"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	
1604	2051	1545	1782	309	217	465	515	502	194	400	118	275	1330	892	383	162	321	668	398	256	229	210	448	146	354	306	125	263	359	82	381	266	200	326	211	338	247	182	297	205	282	232	88	184	175	237	708	186	
1696	2251	1580	1782	325	225	490	535	510	200	435	120	290	1375	920	390	165	340	705	410	265	245	205	475	160	370	325	130	275	370	82	385	275	208	345	218	350	260	190	305	215	290	245	90	190	175	245	740	185	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1489	1871	1317	1658	275	204	427	472	475	184	383	116	270	1317	833	353	108	301	639	371	233	206	181	411	125	306	289	114	249	266	61	329	238	192	288	168	316	222	166	277	187	263	214	77	175	173	234	676	171	
49	97	80	52	20	8	31	33	22	5	7	0	0	0	34	20	54	15	23	21	21	19	17	33	19	44	11	8	11	52	21	48	24	5	38	40	20	22	10	13	16	19	15	10	7	0	0	27	5	
158	283	183	72	30	13	32	30	13	11	45	4	20	58	53	17	3	24	43	18	11	20	7	31	16	20	25	8	15	52	0	8	13	11	19	10	14	16	14	15	12	8	16	3	8	2	11	37	9	
49	97	80	51	20	8	31	33	22	5	7	0	0	0	34	20	54	15	23	21	21	19	17	33	19	44	11	8	11	52	21	48	24	5	38	40	20	22	10	13	16	19	15	10	7	0	0	27	5	
1489	1871	1316	1658	275	204	427	472	475	184	383	116	270	1317	833	353	108	301	639	371	233	206	181	411	125	306	289	114	249	266	61	329	238	192	288	168	316	222	166	277	187	263	214	77	175	173	234	676	171	
1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
1537	1965	1396	1709	295	212	458	505	497	189	390	116	270	1315	867	373	162	316	662	392	254	225	198	444	144	350	299	122	260	316	82	377	262	197	325	208	336	244	176	289	203	282	229	87	182	173	234	703	176	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	1	1	0	0	1	1	3	1	3	0	2	3	3	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1	0	
21	20	10	12	8	2	7	20	18	3	5	1	4	10	130	8	2	3	2	1	1	4	2	10	7	5	3	3	6	21	4	10	4	1	8	8	2	2	1	3	2	2	3	1	1	14	6	5	5	
4	18	20	29	4	1	3	10	1	3	10	1	5	7	9	4	1	4	2	3	1	5	4	10	3	3	4	1	2	2	0	1	2	1	10	2	1	2	1	0	2	1	2	1	1	0	3	2	1	
1494	1907	1350	1651	278	208	444	470	469	180	369	113	257	1280	708	359	156	309	657	385	247	210	190	421	132	336	288	117	250	281	78	362	252	195	305	193	333	239	173	277	195	276	223	83	178	156	222	690	170	
15	3	1	2	1	1	2	4	2	0	3	1	0	4	4	0	1	0	1	0	1	2	0	0	1	2	3	0	0	1	0	0	1	0	1	1	0	0	0	2	0	0	0	0	1	1	0	2	0	
0	4	1	4	2	0	1	0	1	1	0	0	2	2	5	0	2	0	0	0	1	1	2	1	0	2	0	0	2	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	1	1	3	1	0	
1	2	1	2	0	0	0	0	2	1	0	0	0	4	3	1	0	0	0	0	1	1	0	2	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	
2	8	12	8	2	0	0	0	1	0	0	0	0	5	5	1	0	0	0	1	1	1	0	0	1	0	0	1	0	11	0	2	0	0	0	1	0	1	0	7	1	1	0	1	0	0	0	1	0	
