"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	
1950	1463	246	1544	283	397	294	348	
1600	1200	220	1400	240	380	280	300	
0	0	0	0	0	0	0	23	
1122	748	140	592	199	206	165	180	
69	83	27	194	28	28	17	20	
409	369	53	614	13	146	98	77	
69	83	27	194	28	28	17	43	
1121	748	140	592	199	206	165	180	
22	15	6	10	2	3	3	2	
1168	816	161	776	225	231	179	221	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

9	6	3	9	0	3	1	2	
132	89	19	79	47	14	13	11	
104	93	31	86	21	15	24	25	
860	592	106	584	154	190	137	179	
27	13	1	10	3	4	4	1	
8	9	0	6	0	1	0	0	
11	7	1	1	0	3	0	1	
17	7	0	1	0	1	0	2	
