"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	
776	749	210	267	630	475	511	495	1044	845	636	420	874	1210	342	741	1329	434	181	340	259	524	1279	
780	770	220	300	680	500	550	480	1050	860	660	420	920	1220	330	770	1380	440	180	360	280	560	1220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
476	408	89	179	367	262	334	286	644	551	431	311	477	780	244	484	761	229	90	189	191	383	851	
48	35	37	38	78	37	23	49	45	82	67	29	144	57	17	63	66	60	15	58	26	41	47	
256	327	94	83	235	201	193	145	361	227	162	80	299	383	69	223	553	151	75	113	63	136	322	
48	35	37	38	78	37	23	49	45	82	67	29	144	57	17	63	66	60	15	58	26	41	47	
476	408	89	179	367	262	334	286	644	551	431	311	477	780	244	484	761	229	90	189	191	383	851	
2	8	0	2	11	1	12	2	13	8	3	2	2	8	2	10	14	1	1	2	1	2	14	
522	435	126	215	434	298	345	333	676	625	495	338	619	829	259	537	813	288	104	245	216	422	884	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	0	5	6	0	1	1	4	4	4	2	6	6	0	6	5	2	2	2	2	5	6	
48	55	10	17	73	22	51	36	64	60	31	40	30	114	17	49	98	29	6	49	31	39	117	
58	34	17	17	33	17	35	25	56	29	45	28	46	54	23	41	83	37	10	14	16	30	70	
397	335	99	170	308	254	256	266	539	516	402	264	531	624	212	436	603	215	83	167	163	336	654	
9	9	0	3	7	2	1	2	7	4	7	0	3	10	1	2	8	1	0	10	1	3	15	
2	0	0	2	6	0	0	1	4	5	2	2	1	9	3	1	8	4	3	0	1	5	10	
2	0	0	0	1	1	0	1	1	4	2	1	1	7	2	1	5	0	0	1	2	2	9	
2	1	0	1	0	2	1	1	1	3	2	1	1	5	1	1	3	0	0	2	0	2	3	
