"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	
108	146	158	452	266	250	304	216	197	745	1405	361	438	344	270	16	174	39	49	
115	150	160	475	270	250	320	220	200	750	1425	380	430	350	300	15	170	37	33	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
98	135	147	404	249	225	249	197	182	698	1137	340	414	313	234	14	162	34	31	
0	3	0	5	0	0	10	3	4	0	63	0	0	3	9	0	0	0	0	
17	12	13	66	21	25	61	20	14	52	225	40	16	34	57	1	8	3	2	
0	3	0	5	0	0	10	3	4	0	63	0	0	3	9	0	0	0	0	
98	135	147	404	249	225	249	197	182	698	1132	340	414	313	234	14	162	34	31	
1	1	1	3	1	0	5	2	1	0	5	2	6	1	0	0	0	0	0	
97	137	146	406	248	225	254	198	185	698	1190	338	408	315	243	14	162	34	31	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	
6	5	4	20	15	14	8	12	11	22	76	12	8	23	15	1	7	2	2	
1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
90	130	140	384	229	204	241	183	174	676	1109	325	399	288	224	13	155	32	29	
0	1	0	0	1	1	2	0	0	0	4	0	1	1	2	0	0	0	0	
0	1	0	1	1	1	1	1	0	0	0	0	0	2	1	0	0	0	0	
0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	
0	0	2	0	2	1	0	0	0	0	1	0	0	1	1	0	0	0	0	
