"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	
2796	746	354	451	473	166	157	137	232	138	300	132	513	127	199	157	234	439	106	155	185	
2600	830	380	450	480	175	165	140	270	155	300	135	550	125	225	155	245	465	110	170	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1815	487	244	295	303	58	101	97	155	95	199	92	357	78	149	107	156	293	75	107	124	
109	45	35	20	46	38	12	13	31	8	22	8	23	12	26	26	11	31	13	9	19	
676	298	101	135	131	79	52	30	84	52	79	35	170	35	50	22	78	141	22	54	57	
109	45	35	20	46	38	12	13	31	8	22	8	23	12	26	26	11	31	13	9	19	
1814	487	244	295	303	58	101	97	155	95	199	92	357	78	149	107	156	293	75	107	124	
18	13	7	2	1	0	2	0	2	1	1	0	2	0	2	2	0	2	2	2	1	
1905	519	272	313	348	96	111	110	184	102	220	100	378	90	173	131	167	322	86	114	142	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	1	0	3	1	1	0	4	1	1	2	1	2	1	0	1	1	1	1	0	1	
235	69	23	17	58	13	15	4	9	5	15	4	34	6	19	10	14	20	4	5	18	
143	39	18	26	19	3	9	4	11	3	24	7	26	6	9	5	9	28	9	5	12	
1463	404	225	260	260	77	87	96	156	92	172	87	305	75	143	111	139	267	70	100	107	
16	2	1	0	3	0	0	0	2	0	3	0	3	1	1	1	1	3	1	3	3	
21	1	0	1	4	1	0	1	4	1	1	0	4	1	0	2	3	2	0	1	0	
6	3	1	6	3	0	0	1	1	0	3	0	4	0	1	1	0	1	1	0	1	
10	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
