"УИК №4501"	"УИК №4502"	"УИК №4503"	"УИК №4504"	"УИК №4505"	"УИК №4506"	"УИК №4507"	"УИК №4508"	"УИК №4509"	"УИК №4510"	"УИК №4511"	"УИК №4512"	"УИК №4513"	"УИК №4514"	"УИК №4515"	"УИК №4516"	"УИК №4517"	"УИК №4518"	"УИК №4519"	"УИК №4520"	"УИК №4521"	"УИК №4522"	"УИК №4523"	"УИК №4524"	"УИК №4525"	"УИК №4526"	"УИК №4527"	"УИК №4528"	
529	223	79	422	466	897	945	1075	1025	211	823	1002	661	251	320	150	230	732	361	205	183	726	715	779	294	568	482	338	
570	235	79	440	480	890	990	1095	1090	205	870	1075	630	265	355	190	219	740	380	210	190	700	690	800	290	590	525	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
442	148	42	297	364	760	852	714	794	135	659	750	559	227	247	120	181	590	303	149	156	565	577	711	239	502	380	269	
49	34	32	75	65	70	80	75	118	43	57	70	63	17	56	25	36	114	39	25	27	82	53	49	45	48	67	51	
79	53	5	68	51	60	58	306	178	27	154	255	8	21	52	45	2	36	38	36	7	53	60	40	6	40	78	30	
49	34	32	75	65	70	80	75	118	43	57	70	63	17	56	25	36	114	39	25	27	82	53	49	45	48	67	51	
442	148	42	297	364	760	852	714	794	135	659	750	559	227	247	120	181	590	303	149	156	565	577	711	239	502	380	269	
0	0	0	1	2	9	12	20	8	0	7	8	7	2	5	0	4	8	4	0	7	3	9	7	3	8	2	5	
491	182	74	371	427	821	920	769	904	178	709	812	615	242	298	145	213	696	338	174	176	644	621	753	281	542	445	315	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	1	1	2	5	5	8	6	0	4	2	0	1	2	1	4	8	0	0	1	2	4	10	1	5	3	1	
26	13	3	30	39	89	92	111	159	6	97	159	76	20	29	16	27	69	25	12	19	85	60	89	29	78	27	16	
30	8	9	25	38	69	50	75	54	21	43	63	42	19	17	10	13	53	29	4	8	66	38	43	12	16	36	13	
426	160	60	311	336	637	761	556	669	150	553	557	481	199	241	117	165	548	275	155	147	466	505	592	233	424	366	283	
2	0	0	2	4	11	4	12	5	1	4	16	6	2	4	1	2	6	7	0	0	13	7	4	1	9	5	1	
0	1	1	1	4	5	3	5	8	0	3	7	5	1	3	0	1	9	2	3	1	7	2	7	2	4	7	1	
1	0	0	1	2	3	1	1	3	0	3	5	4	0	0	0	1	1	0	0	0	2	2	0	2	2	1	0	
2	0	0	0	2	2	4	1	0	0	2	3	1	0	2	0	0	2	0	0	0	3	3	8	1	4	0	0	
