"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	
1163	1221	995	129	273	383	280	216	463	255	276	
1200	1280	1020	130	300	400	290	230	490	290	290	
0	0	0	0	0	0	0	0	0	0	0	
646	732	386	60	167	176	187	116	247	88	152	
108	93	215	31	25	104	20	39	83	98	38	
446	455	419	39	108	120	83	75	160	104	100	
108	93	215	31	25	104	20	39	83	98	38	
646	731	386	60	167	176	187	116	247	88	152	
2	11	4	1	0	0	0	1	1	0	1	
752	813	597	90	192	280	207	154	329	186	189	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

6	7	2	2	1	1	2	0	0	1	2	
158	156	103	4	31	76	50	14	30	30	32	
95	83	59	8	26	23	15	18	18	18	22	
465	551	414	71	130	175	134	116	276	133	127	
12	7	6	1	1	2	2	3	1	1	2	
4	4	6	1	2	2	0	3	1	1	2	
6	3	7	2	1	1	4	0	2	1	0	
6	2	0	1	0	0	0	0	1	1	2	
