"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	
232	224	152	601	350	234	117	206	2929	2808	182	467	462	
260	250	180	650	370	270	130	240	2700	2600	190	430	530	
0	0	0	0	0	0	0	0	0	0	0	0	0	
154	151	59	438	258	155	101	160	2024	1927	154	290	309	
72	55	88	94	87	61	15	45	145	214	24	72	133	
34	44	33	118	25	54	14	35	531	459	12	68	88	
72	55	88	94	87	61	15	45	145	214	24	72	133	
154	151	59	438	258	155	101	160	2022	1926	154	290	309	
0	2	1	9	7	1	0	1	38	45	3	9	3	
226	204	146	523	338	215	116	204	2129	2095	175	353	439	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	1	4	2	0	0	3	17	16	0	1	4	
31	17	35	46	26	15	14	17	275	246	23	28	49	
21	20	7	54	41	19	16	23	229	206	18	28	35	
165	163	100	403	252	174	85	159	1524	1571	131	285	337	
6	2	0	6	6	1	0	1	32	21	1	5	6	
0	0	0	5	4	4	0	1	24	13	0	0	3	
1	1	2	4	2	0	1	0	14	12	0	4	5	
0	0	1	1	5	2	0	0	14	10	2	2	0	
