"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	
762	706	719	964	505	276	1325	168	1882	959	1012	718	1909	813	1814	1661	1552	348	331	1519	1105	
856	800	813	1059	517	274	1343	161	1881	1054	1036	812	1946	815	1866	1731	1605	358	330	1484	1095	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
683	633	642	859	445	233	1183	123	1643	842	910	633	1708	721	1633	1489	1401	311	282	1355	1008	
11	13	15	21	23	25	40	32	30	27	23	25	42	30	43	49	37	12	26	56	21	
162	154	156	179	49	16	120	6	208	185	103	154	196	64	190	193	167	35	22	73	66	
11	13	15	21	23	25	40	32	30	27	23	25	42	30	43	49	37	12	26	56	21	
682	631	641	858	444	231	1181	122	1642	841	909	632	1706	720	1631	1488	1399	310	280	1354	1006	
2	1	1	2	1	1	2	1	3	1	2	1	2	1	3	3	2	1	1	2	2	
691	643	655	877	466	255	1219	153	1669	867	930	656	1746	749	1671	1534	1434	321	305	1408	1025	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	2	4	1	1	4	1	4	3	5	3	3	2	4	3	3	1	1	5	10	
26	28	28	36	19	10	35	5	65	33	38	22	65	25	60	61	57	7	4	40	16	
4	3	4	8	9	8	12	5	16	3	15	4	12	9	10	12	9	7	11	10	16	
649	601	611	818	433	231	1157	138	1569	814	862	615	1652	702	1583	1444	1349	300	279	1333	954	
3	2	2	3	1	1	2	1	3	3	2	4	3	3	3	3	3	2	2	8	8	
2	2	3	2	1	2	3	1	4	4	2	3	2	2	4	2	5	1	4	7	5	
2	3	2	2	1	1	3	1	4	3	3	3	4	3	4	5	4	2	1	3	5	
3	2	3	4	1	1	3	1	4	4	3	2	5	3	3	4	4	1	3	2	11	
