"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	
2290	2234	470	338	208	421	402	164	179	144	491	153	384	117	502	239	196	378	63	69	363	120	
2300	2200	500	350	220	430	400	180	190	160	500	150	450	130	500	240	220	420	70	75	390	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1307	1243	293	187	121	172	204	118	86	85	228	85	170	80	307	133	101	234	36	53	194	53	
151	217	58	67	26	134	124	18	59	16	160	23	155	18	104	50	46	58	8	6	82	9	
842	740	149	96	73	124	72	44	45	59	112	42	125	32	89	57	73	128	26	16	114	78	
151	217	58	67	26	134	124	18	59	16	160	23	155	18	104	50	46	58	8	6	82	9	
1307	1243	293	187	121	172	204	118	86	85	228	85	170	80	307	133	101	234	36	53	194	53	
11	12	3	1	1	2	4	2	0	1	0	0	2	1	2	0	0	2	0	0	4	0	
1447	1448	348	253	146	304	324	134	145	100	388	108	323	97	409	183	147	290	44	59	272	62	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	18	2	0	0	3	5	0	1	0	2	0	2	0	0	0	0	2	0	0	0	1	
258	235	58	44	25	15	37	9	9	2	34	4	34	19	39	23	12	36	1	4	21	4	
131	163	33	26	22	40	38	13	27	9	41	7	41	10	35	17	16	22	3	7	26	5	
997	995	241	181	95	235	236	105	106	84	301	96	240	67	330	138	116	218	39	47	219	50	
18	12	7	2	2	6	2	5	1	4	3	1	3	0	3	1	1	7	0	1	2	1	
10	4	4	0	2	1	1	0	0	0	5	0	2	1	0	3	0	1	1	0	2	0	
16	15	0	0	0	4	5	1	1	1	2	0	0	0	1	0	0	0	0	0	2	1	
5	6	3	0	0	0	0	1	0	0	0	0	1	0	1	1	2	4	0	0	0	0	
